occupation_code	occupation_text	display_level	selectable	sort_sequence
472142	Paperhangers	4	T	936	
47214X	Painters and paperhangers	3	T	934	
472151	Pipelayers	4	T	938	
472152	Plumbers, pipefitters, and steamfitters	4	T	939	
47215X	Pipelayers, plumbers, pipefitters, and steamfitters	3	T	937	
472161	Plasterers and stucco masons	4	T	941	
47216X	Plasterers and stucco masons	3	T	940	
472171	Reinforcing iron and rebar workers	4	T	943	
47217X	Reinforcing iron and rebar workers	3	T	942	
472181	Roofers	4	T	945	
47218X	Roofers	3	T	944	
472211	Sheet metal workers	4	T	947	
47221X	Sheet metal workers	3	T	946	
472221	Structural iron and steel workers	4	T	949	
47222X	Structural iron and steel workers	3	T	948	
472231	Solar photovoltaic installers	4	T	951	
47223X	Solar photovoltaic installers	3	T	950	
472XXX	Construction trades workers	2	T	902	
473012	Helpers--carpenters	4	T	955	
473013	Helpers--electricians	4	T	956	
473015	Helpers--pipelayers, plumbers, pipefitters, and steamfitters	4	T	958	
47301X	Helpers, construction trades	3	T	953	
473XXX	Helpers, construction trades	2	T	952	
474011	Construction and building inspectors	4	T	962	
47401X	Construction and building inspectors	3	T	961	
474021	Elevator installers and repairers	4	T	964	
47402X	Elevator installers and repairers	3	T	963	
474031	Fence erectors	4	T	966	
47403X	Fence erectors	3	T	965	
474041	Hazardous materials removal workers	4	T	968	
47404X	Hazardous materials removal workers	3	T	967	
474051	Highway maintenance workers	4	T	970	
47405X	Highway maintenance workers	3	T	969	
474061	Rail-track laying and maintenance equipment operators	4	T	972	
47406X	Rail-track laying and maintenance equipment operators	3	T	971	
474071	Septic tank servicers and sewer pipe cleaners	4	T	974	
47407X	Septic tank servicers and sewer pipe cleaners	3	T	973	
47409X	Miscellaneous construction and related workers	3	T	975	
474XXX	Other construction and related workers	2	T	960	
475011	Derrick operators, oil and gas	4	T	979	
475012	Rotary drill operators, oil and gas	4	T	980	
475013	Service unit operators, oil, gas, and mining	4	T	981	
47501X	Derrick, rotary drill, and service unit operators, oil, gas, and mining	3	T	978	
475021	Earth drillers, except oil and gas	4	T	983	
47502X	Earth drillers, except oil and gas	3	T	982	
475031	Explosives workers, ordnance handling experts, and blasters	4	T	985	
47503X	Explosives workers, ordnance handling experts, and blasters	3	T	984	
475041	Continuous mining machine operators	4	T	987	
47504X	Mining machine operators	3	T	986	
475051	Rock splitters, quarry	4	T	990	
47505X	Rock splitters, quarry	3	T	989	
475061	Roof bolters, mining	4	T	992	
47506X	Roof bolters, mining	3	T	991	
475071	Roustabouts, oil and gas	4	T	994	
47507X	Roustabouts, oil and gas	3	T	993	
475081	Helpers--extraction workers	4	T	996	
47508X	Helpers--extraction workers	3	T	995	
47509X	Miscellaneous extraction workers	3	T	997	
475XXX	Extraction workers	2	T	977	
47XXXX	Construction and extraction occupations	1	T	898	
491011	First-line supervisors of mechanics, installers, and repairers	4	T	1001	
49101X	First-line supervisors of mechanics, installers, and repairers	3	T	1000	
491XXX	Supervisors of installation, maintenance, and repair workers	2	T	999	
492011	Computer, automated teller, and office machine repairers	4	T	1004	
49201X	Computer, automated teller, and office machine repairers	3	T	1003	
492021	Radio, cellular, and tower equipment installers and repairers	4	T	1006	
492022	Telecommunications equipment installers and repairers, except line installers	4	T	1007	
49202X	Radio and telecommunications equipment installers and repairers	3	T	1005	
492092	Electric motor, power tool, and related repairers	4	T	1010	
492094	Electrical and electronics repairers, commercial and industrial equipment	4	T	1012	
492095	Electrical and electronics repairers, powerhouse, substation, and relay	4	T	1013	
492097	Electronic home entertainment equipment installers and repairers	4	T	1015	
492098	Security and fire alarm systems installers	4	T	1016	
49209X	Miscellaneous electrical and electronic equipment mechanics, installers, and repairers	3	T	1008	
492XXX	Electrical and electronic equipment mechanics, installers, and repairers	2	T	1002	
493011	Aircraft mechanics and service technicians	4	T	1019	
49301X	Aircraft mechanics and service technicians	3	T	1018	
493021	Automotive body and related repairers	4	T	1021	
493022	Automotive glass installers and repairers	4	T	1022	
493023	Automotive service technicians and mechanics	4	T	1023	
49302X	Automotive technicians and repairers	3	T	1020	
493031	Bus and truck mechanics and diesel engine specialists	4	T	1025	
49303X	Bus and truck mechanics and diesel engine specialists	3	T	1024	
493041	Farm equipment mechanics and service technicians	4	T	1027	
493042	Mobile heavy equipment mechanics, except engines	4	T	1028	
49304X	Heavy vehicle and mobile equipment service technicians and mechanics	3	T	1026	
493051	Motorboat mechanics and service technicians	4	T	1031	
493052	Motorcycle mechanics	4	T	1032	
493053	Outdoor power equipment and other small engine mechanics	4	T	1033	
49305X	Small engine mechanics	3	T	1030	
493091	Bicycle repairers	4	T	1035	
493092	Recreational vehicle service technicians	4	T	1036	
493093	Tire repairers and changers	4	T	1037	
49309X	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	3	T	1034	
493XXX	Vehicle and mobile equipment mechanics, installers, and repairers	2	T	1017	
499011	Mechanical door repairers	4	T	1040	
499012	Control and valve installers and repairers, except mechanical door	4	T	1041	
49901X	Control and valve installers and repairers	3	T	1039	
499021	Heating, air conditioning, and refrigeration mechanics and installers	4	T	1043	
49902X	Heating, air conditioning, and refrigeration mechanics and installers	3	T	1042	
499031	Home appliance repairers	4	T	1045	
49903X	Home appliance repairers	3	T	1044	
499041	Industrial machinery mechanics	4	T	1047	
499043	Maintenance workers, machinery	4	T	1048	
499044	Millwrights	4	T	1049	
499045	Refractory materials repairers, except brickmasons	4	T	1050	
49904X	Industrial machinery installation, repair, and maintenance workers	3	T	1046	
499051	Electrical power-line installers and repairers	4	T	1052	
499052	Telecommunications line installers and repairers	4	T	1053	
49905X	Line installers and repairers	3	T	1051	
499071	Maintenance and repair workers, general	4	T	1060	
49907X	Maintenance and repair workers, general	3	T	1059	
499091	Coin, vending, and amusement machine servicers and repairers	4	T	1064	
499092	Commercial divers	4	T	1065	
499094	Locksmiths and safe repairers	4	T	1067	
499095	Manufactured building and mobile home installers	4	T	1068	
499096	Riggers	4	T	1069	
499098	Helpers--installation, maintenance, and repair workers	4	T	1071	
49909X	Miscellaneous installation, maintenance, and repair workers	3	T	1063	
499XXX	Other installation, maintenance, and repair occupations	2	T	1038	
49XXXX	Installation, maintenance, and repair occupations	1	T	998	
511011	First-line supervisors of production and operating workers	4	T	1075	
51101X	First-line supervisors of production and operating workers	3	T	1074	
511XXX	Supervisors of production workers	2	T	1073	
512023	Electromechanical equipment assemblers	4	T	1082	
51202X	Electrical, electronics, and electromechanical assemblers	3	T	1079	
512031	Engine and other machine assemblers	4	T	1084	
51203X	Engine and other machine assemblers	3	T	1083	
512041	Structural metal fabricators and fitters	4	T	1086	
51204X	Structural metal fabricators and fitters	3	T	1085	
512091	Fiberglass laminators and fabricators	4	T	1088	
512092	Team assemblers	4	T	1089	
51209X	Miscellaneous assemblers and fabricators	3	T	1087	
512XXX	Assemblers and fabricators	2	T	1076	
513011	Bakers	4	T	1093	
51301X	Bakers	3	T	1092	
513021	Butchers and meat cutters	4	T	1095	
513022	Meat, poultry, and fish cutters and trimmers	4	T	1096	
513023	Slaughterers and meat packers	4	T	1097	
51302X	Butchers and other meat, poultry, and fish processing workers	3	T	1094	
513092	Food batchmakers	4	T	1100	
513093	Food cooking machine operators and tenders	4	T	1101	
51309X	Miscellaneous food processing workers	3	T	1098	
513XXX	Food processing workers	2	T	1091	
514011	Computer-controlled machine tool operators, metal and plastic	4	T	1104	
51401X	Computer control programmers and operators	3	T	1103	
514022	Forging machine setters, operators, and tenders, metal and plastic	4	T	1108	
514023	Rolling machine setters, operators, and tenders, metal and plastic	4	T	1109	
51402X	Forming machine setters, operators, and tenders, metal and plastic	3	T	1106	
514031	Cutting, punching, and press machine setters, operators, and tenders, metal and plastic	4	T	1111	
514032	Drilling and boring machine tool setters, operators, and tenders, metal and plastic	4	T	1112	
514033	Grinding, lapping, polishing, buffing mach tool setters, operators and tenders, metal and plastic	4	T	1113	
51403X	Machine tool cutting setters, operators, and tenders, metal and plastic	3	T	1110	
514041	Machinists	4	T	1117	
51404X	Machinists	3	T	1116	
514051	Metal-refining furnace operators and tenders	4	T	1119	
51405X	Metal furnace operators, tenders, pourers, and casters	3	T	1118	
514071	Foundry mold and coremakers	4	T	1125	
514072	Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic	4	T	1126	
51407X	Molders and molding machine setters, operators, and tenders, metal and plastic	3	T	1124	
514111	Tool and die makers	4	T	1130	
51411X	Tool and die makers	3	T	1129	
514121	Welders, cutters, solderers, and brazers	4	T	1132	
514122	Welding, soldering, and brazing machine setters, operators, and tenders	4	T	1133	
51412X	Welding, soldering, and brazing workers	3	T	1131	
514191	Heat treating equipment setters, operators, and tenders, metal and plastic	4	T	1135	
51419X	Miscellaneous metalworkers and plastic workers	3	T	1134	
514XXX	Metal workers and plastic workers	2	T	1102	
515112	Printing press operators	4	T	1142	
51511X	Printing workers	3	T	1140	
5151XX	Printing workers	3	T	1139	
516011	Laundry and dry-cleaning workers	4	T	1146	
51601X	Laundry and dry-cleaning workers	3	T	1145	
516031	Sewing machine operators	4	T	1150	
51603X	Sewing machine operators	3	T	1149	
516041	Shoe and leather workers and repairers	4	T	1152	
51604X	Shoe and leather workers	3	T	1151	
516061	Textile bleaching and dyeing machine operators and tenders	4	T	1158	
51606X	Textile machine setters, operators, and tenders	3	T	1157	
516093	Upholsterers	4	T	1165	
51609X	Miscellaneous textile, apparel, and furnishings workers	3	T	1162	
516XXX	Textile, apparel, and furnishings workers	2	T	1144	
517021	Furniture finishers	4	T	1170	
51702X	Furniture finishers	3	T	1169	
517041	Sawing machine setters, operators, and tenders, wood	4	T	1175	
517042	Woodworking machine setters, operators, and tenders, except sawing	4	T	1176	
51704X	Woodworking machine setters, operators, and tenders	3	T	1174	
517XXX	Woodworkers	2	T	1166	
518013	Power plant operators	4	T	1182	
51801X	Power plant operators, distributors, and dispatchers	3	T	1179	
518021	Stationary engineers and boiler operators	4	T	1184	
51802X	Stationary engineers and boiler operators	3	T	1183	
518031	Water and wastewater treatment plant and system operators	4	T	1186	
51803X	Water and wastewater treatment plant and system operators	3	T	1185	
518091	Chemical plant and system operators	4	T	1188	
518093	Petroleum pump system operators, refinery operators, and gaugers	4	T	1190	
51809X	Miscellaneous plant and system operators	3	T	1187	
518XXX	Plant and system operators	2	T	1178	
519011	Chemical equipment operators and tenders	4	T	1193	
519012	Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders	4	T	1194	
51901X	Chemical processing machine setters, operators, and tenders	3	T	1192	
519021	Crushing, grinding, and polishing machine setters, operators, and tenders	4	T	1196	
519022	Grinding and polishing workers, hand	4	T	1197	
519023	Mixing and blending machine setters, operators, and tenders	4	T	1198	
51902X	Crushing, grinding, polishing, mixing, and blending workers	3	T	1195	
519032	Cutting and slicing machine setters, operators, and tenders	4	T	1201	
51903X	Cutting workers	3	T	1199	
519041	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	4	T	1203	
51904X	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	3	T	1202	
519051	Furnace, kiln, oven, drier, and kettle operators and tenders	4	T	1205	
51905X	Furnace, kiln, oven, drier, and kettle operators and tenders	3	T	1204	
519061	Inspectors, testers, sorters, samplers, and weighers	4	T	1207	
51906X	Inspectors, testers, sorters, samplers, and weighers	3	T	1206	
519071	Jewelers and precious stone and metal workers	4	T	1209	
51907X	Jewelers and precious stone and metal workers	3	T	1208	
519111	Packaging and filling machine operators and tenders	4	T	1215	
51911X	Packaging and filling machine operators and tenders	3	T	1214	
519122	Painters, transportation equipment	4	T	1218	
519123	Painting, coating, and decorating workers	4	T	1219	
51912X	Painting workers	3	T	1216	
519196	Paper goods machine setters, operators, and tenders	4	T	1230	
519197	Tire builders	4	T	1231	
519198	Helpers--production workers	4	T	1232	
51919X	Miscellaneous production workers	3	T	1224	
519XXX	Other production occupations	2	T	1191	
51XXXX	Production occupations	1	T	1072	
531021	First-line supervisors of helpers, laborers, and material movers, hand	4	T	1238	
53102X	First-line supervisors of helpers, laborers, and material movers, hand	3	T	1237	
531031	First-line supervisors of transportation and material-moving machine and vehicle operators	4	T	1240	
53103X	First-line supervisors of transportation and material-moving machine and vehicle operators	3	T	1239	
531XXX	Supervisors, transportation and material moving workers	2	T	1234	
532011	Airline pilots, copilots, and flight engineers	4	T	1243	
532012	Commercial pilots	4	T	1244	
53201X	Aircraft pilots and flight engineers	3	T	1242	
532031	Flight attendants	4	T	1249	
53203X	Flight attendants	3	T	1248	
532XXX	Air transportation workers	2	T	1241	
533011	Ambulance drivers and attendants, except emergency medical technicians	4	T	1252	
53301X	Ambulance drivers and attendants, except emergency medical technicians	3	T	1251	
533021	Bus drivers, transit and intercity	4	T	1254	
533022	Bus drivers, school or special client	4	T	1255	
53302X	Bus drivers	3	T	1253	
533031	Driver/sales workers	4	T	1257	
533032	Heavy and tractor-trailer truck drivers	4	T	1258	
533033	Light truck or delivery services drivers	4	T	1259	
53303X	Driver/sales workers and truck drivers	3	T	1256	
533041	Taxi drivers and chauffeurs	4	T	1261	
53304X	Taxi drivers and chauffeurs	3	T	1260	
53309X	Miscellaneous motor vehicle operators	3	T	1262	
533XXX	Motor vehicle operators	2	T	1250	
534011	Locomotive engineers	4	T	1265	
534013	Rail yard engineers, dinkey operators, and hostlers	4	T	1267	
53401X	Locomotive engineers and operators	3	T	1264	
534021	Railroad brake, signal, and switch operators	4	T	1269	
53402X	Railroad brake, signal, and switch operators	3	T	1268	
534031	Railroad conductors and yardmasters	4	T	1271	
53403X	Railroad conductors and yardmasters	3	T	1270	
534041	Subway and streetcar operators	4	T	1273	
53404X	Subway and streetcar operators	3	T	1272	
534XXX	Rail transportation workers	2	T	1263	
535011	Sailors and marine oilers	4	T	1277	
53501X	Sailors and marine oilers	3	T	1276	
535021	Captains, mates, and pilots of water vessels	4	T	1279	
53502X	Ship and boat captains and operators	3	T	1278	
535031	Ship engineers	4	T	1282	
53503X	Ship engineers	3	T	1281	
535XXX	Water transportation workers	2	T	1275	
536021	Parking lot attendants	4	T	1287	
53602X	Parking lot attendants	3	T	1286	
536031	Automotive and watercraft service attendants	4	T	1289	
53603X	Automotive and watercraft service attendants	3	T	1288	
536041	Traffic technicians	4	T	1291	
53604X	Traffic technicians	3	T	1290	
536051	Transportation inspectors	4	T	1293	
53605X	Transportation inspectors	3	T	1292	
536061	Transportation attendants, except flight attendants	4	T	1295	
53606X	Transportation attendants, except flight attendants	3	T	1294	
53609X	Miscellaneous transportation workers	3	T	1296	
536XXX	Other transportation workers	2	T	1283	
537011	Conveyor operators and tenders	4	T	1299	
53701X	Conveyor operators and tenders	3	T	1298	
537021	Crane and tower operators	4	T	1301	
53702X	Crane and tower operators	3	T	1300	
537031	Dredge operators	4	T	1303	
537032	Excavating and loading machine and dragline operators	4	T	1304	
537033	Loading machine operators, underground mining	4	T	1305	
53703X	Dredge, excavating, and loading machine operators	3	T	1302	
537041	Hoist and winch operators	4	T	1307	
53704X	Hoist and winch operators	3	T	1306	
537051	Industrial truck and tractor operators	4	T	1309	
53705X	Industrial truck and tractor operators	3	T	1308	
537061	Cleaners of vehicles and equipment	4	T	1311	
537062	Laborers and freight, stock, and material movers, hand	4	T	1312	
537063	Machine feeders and offbearers	4	T	1313	
537064	Packers and packagers, hand	4	T	1314	
53706X	Laborers and material movers, hand	3	T	1310	
537071	Gas compressor and gas pumping station operators	4	T	1316	
537072	Pump operators, except wellhead pumpers	4	T	1317	
537073	Wellhead pumpers	4	T	1318	
53707X	Pumping station operators	3	T	1315	
537081	Refuse and recyclable material collectors	4	T	1320	
53708X	Refuse and recyclable material collectors	3	T	1319	
537111	Mine shuttle car operators	4	T	1322	
53711X	Mine shuttle car operators	3	T	1321	
537121	Tank car, truck, and ship loaders	4	T	1324	
53712X	Tank car, truck, and ship loaders	3	T	1323	
53719X	Miscellaneous material moving workers	3	T	1325	
537XXX	Material moving workers	2	T	1297	
53XXXX	Transportation and material moving occupations	1	T	1233	
55XXXX	Military specific occupations	1	T	1326	
