occupation_code	occupation_text	display_level	selectable	sort_sequence
17XXXX	Architecture and engineering occupations	1	T	157	
191013	Soil and plant scientists	4	T	219	
19101X	Agricultural and food scientists	3	T	216	
191022	Microbiologists	4	T	222	
191023	Zoologists and wildlife biologists	4	T	223	
19102X	Biological scientists	3	T	220	
191031	Conservation scientists	4	T	225	
191032	Foresters	4	T	226	
19103X	Conservation scientists and foresters	3	T	224	
191042	Medical scientists, except epidemiologists	4	T	229	
19104X	Medical scientists	3	T	227	
191XXX	Life scientists	2	T	215	
192031	Chemists	4	T	238	
19203X	Chemists and materials scientists	3	T	237	
192041	Environmental scientists and specialists, including health	4	T	241	
192043	Hydrologists	4	T	243	
19204X	Environmental scientists and geoscientists	3	T	240	
192XXX	Physical scientists	2	T	231	
193031	Clinical, counseling, and school psychologists	4	T	251	
19303X	Psychologists	3	T	250	
193051	Urban and regional planners	4	T	256	
19305X	Urban and regional planners	3	T	255	
193XXX	Social scientists and related workers	2	T	245	
194011	Agricultural and food science technicians	4	T	264	
19401X	Agricultural and food science technicians	3	T	263	
194021	Biological technicians	4	T	266	
19402X	Biological technicians	3	T	265	
194031	Chemical technicians	4	T	268	
19403X	Chemical technicians	3	T	267	
194041	Geological and petroleum technicians	4	T	270	
19404X	Geological and petroleum technicians	3	T	269	
194051	Nuclear technicians	4	T	272	
19405X	Nuclear technicians	3	T	271	
194091	Environmental science and protection technicians, including health	4	T	276	
194092	Forensic science technicians	4	T	277	
194093	Forest and conservation technicians	4	T	278	
19409X	Miscellaneous life, physical, and social science technicians	3	T	275	
194XXX	Life, physical, and social science technicians	2	T	262	
19XXXX	Life, physical, and social science occupations	1	T	214	
211011	Substance abuse and behavioral disorder counselors	4	T	282	
211012	Educational, guidance, school, and vocational counselors	4	T	283	
211014	Mental health counselors	4	T	285	
211015	Rehabilitation counselors	4	T	286	
21101X	Counselors	3	T	281	
211021	Child, family, and school social workers	4	T	288	
211022	Healthcare social workers	4	T	289	
211023	Mental health and substance abuse social workers	4	T	290	
21102X	Social workers	3	T	287	
211092	Probation officers and correctional treatment specialists	4	T	293	
211093	Social and human service assistants	4	T	294	
21109X	Miscellaneous community and social service specialists	3	T	291	
211XXX	Counselors, social workers, and other community and social service specialists	2	T	280	
212011	Clergy	4	T	298	
21201X	Clergy	3	T	297	
212021	Directors, religious activities and education	4	T	300	
21202X	Directors, religious activities and education	3	T	299	
21209X	Miscellaneous religious workers	3	T	301	
212XXX	Religious workers	2	T	296	
21XXXX	Community and social services occupations	1	T	279	
231011	Lawyers	4	T	305	
23101X	Lawyers and judicial law clerks	3	T	304	
231023	Judges, magistrate judges, and magistrates	4	T	310	
23102X	Judges, magistrates, and other judicial workers	3	T	307	
231XXX	Lawyers, judges, and related workers	2	T	303	
232011	Paralegals and legal assistants	4	T	313	
23201X	Paralegals and legal assistants	3	T	312	
232XXX	Legal support workers	2	T	311	
23XXXX	Legal occupations	1	T	302	
251021	Computer science teachers, postsecondary	4	T	322	
251022	Mathematical science teachers, postsecondary	4	T	323	
25102X	Math and computer teachers, postsecondary	3	T	321	
251054	Physics teachers, postsecondary	4	T	335	
25105X	Physical sciences teachers, postsecondary	3	T	331	
251071	Health specialties teachers, postsecondary	4	T	345	
25107X	Health teachers, postsecondary	3	T	344	
251123	English language and literature teachers, postsecondary	4	T	357	
25112X	Arts, communications, and humanities teachers, postsecondary	3	T	354	
251194	Vocational education teachers, postsecondary	4	T	365	
25119X	Miscellaneous postsecondary teachers	3	T	361	
251XXX	Postsecondary teachers	2	T	318	
252021	Elementary school teachers, except special education	4	T	371	
252022	Middle school teachers, except special and career/technical education	4	T	372	
25202X	Elementary and middle school teachers	3	T	370	
252031	Secondary school teachers, except special and career/technical education	4	T	375	
252032	Career/technical education teachers, secondary school	4	T	376	
25203X	Secondary school teachers	3	T	374	
252052	Special education teachers, kindergarten and elementary school	4	T	379	
252054	Special education teachers, secondary school	4	T	381	
25205X	Special education teachers	3	T	377	
252XXX	Preschool, primary, secondary, and special education school teachers	2	T	366	
253021	Self-enrichment education teachers	4	T	386	
25302X	Self-enrichment education teachers	3	T	385	
25309X	Miscellaneous teachers and instructors	3	T	387	
253XXX	Other teachers and instructors	2	T	382	
254021	Librarians	4	T	394	
25402X	Librarians	3	T	393	
254031	Library technicians	4	T	396	
25403X	Library technicians	3	T	395	
254XXX	Librarians, curators, and archivists	2	T	388	
259041	Teacher assistants	4	T	405	
25904X	Teacher assistants	3	T	404	
259XXX	Other education, training, and library occupations	2	T	397	
25XXXX	Education, training, and library occupations	1	T	317	
271012	Craft artists	4	T	411	
271013	Fine artists, including painters, sculptors, and illustrators	4	T	412	
27101X	Artists and related workers	3	T	409	
271023	Floral designers	4	T	417	
271024	Graphic designers	4	T	418	
271025	Interior designers	4	T	419	
27102X	Designers	3	T	414	
271XXX	Art and design workers	2	T	408	
272011	Actors	4	T	424	
272012	Producers and directors	4	T	425	
27201X	Actors, producers, and directors	3	T	423	
272021	Athletes and sports competitors	4	T	427	
272022	Coaches and scouts	4	T	428	
272023	Umpires, referees, and other sports officials	4	T	429	
27202X	Athletes, coaches, umpires, and related workers	3	T	426	
272031	Dancers	4	T	431	
27203X	Dancers and choreographers	3	T	430	
272041	Music directors and composers	4	T	434	
272042	Musicians and singers	4	T	435	
27204X	Musicians, singers, and related workers	3	T	433	
27209X	Miscellaneous entertainers and performers, sports and related workers	3	T	436	
272XXX	Entertainers and performers, sports and related workers	2	T	422	
273011	Radio and television announcers	4	T	439	
27301X	Announcers	3	T	438	
273022	Reporters and correspondents	4	T	443	
27302X	News analysts, reporters and correspondents	3	T	441	
273031	Public relations specialists	4	T	445	
27303X	Public relations specialists	3	T	444	
273043	Writers and authors	4	T	449	
27304X	Writers and editors	3	T	446	
273091	Interpreters and translators	4	T	451	
27309X	Miscellaneous media and communication workers	3	T	450	
273XXX	Media and communication workers	2	T	437	
274011	Audio and video equipment technicians	4	T	454	
274013	Radio operators	4	T	456	
274014	Sound engineering technicians	4	T	457	
27401X	Broadcast and sound engineering technicians and radio operators	3	T	453	
274021	Photographers	4	T	459	
27402X	Photographers	3	T	458	
