industry_code	industry_text	display_level	selectable	sort_sequence
1742	Plastering, drywall, acoustical, and insulation work	5 	T	00145	
1743	Terrazzo, tile, marble, and mosaic work	5 	T	00146	
174X	Masonry, stonework, and plastering	4 	T	00143	
1751	Carpentry work	5 	T	00148	
1752	Floor laying and other floor work, n.e.c.	5 	T	00149	
175X	Carpentry and floor work	4 	T	00147	
176X	Roofing, siding, and sheet metal work	4 	T	00150	
177X	Concrete work	4 	T	00151	
178X	Water well drilling	4 	T	00152	
1791	Structural steel erection	5 	T	00154	
1793	Glass and glazing work	5 	T	00155	
1794	Excavation work	5 	T	00156	
1795	Wrecking and demolition work	5 	T	00157	
1796	Installation or erection of building equipment, n.e.c.	5 	T	00158	
1799	Special trade contractors, n.e.c.	5 	T	00159	
179X	Miscellaneous special trade contractors	4 	T	00153	
17XX	Special trade contractors	3 	T	00139	
2011	Meat packing plants	5 	T	00163	
2013	Sausages and other prepared meats	5 	T	00164	
2015	Poultry slaughtering and processing	5 	T	00165	
201X	Meat products	4 	T	00162	
2021	Creamery butter	5 	T	00167	
2022	Cheese, natural and processed	5 	T	00168	
2023	Dry, condensed, evaporatedproducts	5 	T	00169	
2024	Ice cream and frozen desserts	5 	T	00170	
2026	Fluid milk	5 	T	00171	
202X	Dairy products	4 	T	00166	
2032	Canned specialties	5 	T	00173	
2033	Canned fruits, vegetables, preserves, jams, and jellies	5 	T	00174	
2034	Dried and dehydrated fruits, vegetables and soup mixes	5 	T	00175	
2035	Pickled fruits and vegetables, vegetable sauces and seasonings, and salad dressings	5 	T	00176	
2037	Frozen fruits, fruit juices, and vegetables	5 	T	00177	
2038	Frozen specialties, n.e.c.	5 	T	00178	
203X	Preserved fruits and vegetables	4 	T	00172	
2041	Flour and other grain mill products	5 	T	00180	
2043	Cereal breakfast foods	5 	T	00181	
2044	Rice milling	5 	T	00182	
2045	Prepared flour mixes and doughs	5 	T	00183	
2046	Wet corn milling	5 	T	00184	
2047	Dog and cat food	5 	T	00185	
2048	Prepared feeds, n.e.c.	5 	T	00186	
204X	Grain mill products	4 	T	00179	
2051	Bread and other bakery products, except cookies and crackers	5 	T	00188	
2052	Cookies and crackers	5 	T	00189	
2053	Frozen bakery products, except bread	5 	T	00190	
205X	Bakery products	4 	T	00187	
2061	Cane sugar, except refining	5 	T	00192	
2062	Cane sugar refining	5 	T	00193	
2063	Beet sugar	5 	T	00194	
2064	Candy and other confectionery products	5 	T	00195	
2066	Chocolate and cocoa products	5 	T	00196	
2067	Chewing gum	5 	T	00197	
2068	Salted and roasted nuts and seeds	5 	T	00198	
206X	Sugar and confectionery products	4 	T	00191	
2074	Cottonseed oil mills	5 	T	00200	
2075	Soybean oil mills	5 	T	00201	
2076	Vegetable oil mills, except corn, cottonseed, and soybean	5 	T	00202	
2077	Animal and marine fats and oils	5 	T	00203	
2079	Shortening, table oils, margarine, and other edible fats and oils, n.e.c.	5 	T	00204	
207X	Fats and oils	4 	T	00199	
2082	Malt beverages	5 	T	00206	
2083	Malt	5 	T	00207	
2084	Wines, brandy, and brandy spirits	5 	T	00208	
2085	Distilled and blended liquors	5 	T	00209	
2086	Bottled and canned soft drinks and carbonated water	5 	T	00210	
2087	Flavoring extracts and flavoring syrups, n.e.c.	5 	T	00211	
208X	Beverages	4 	T	00205	
2091	Canned and cured fish and seafoods	5 	T	00213	
2092	Fresh or frozen prepared fish	5 	T	00214	
2095	Roasted coffee	5 	T	00215	
2096	Potato chips and similar snacks	5 	T	00216	
2097	Manufactured ice	5 	T	00217	
2098	Macaroni and spaghetti	5 	T	00218	
2099	Food preparations, n.e.c.	5 	T	00219	
209X	Miscellaneous food and kindred products	4 	T	00212	
20XX	Food and kindred products	3 	T	00161	
211X	Cigarettes	4 	T	00221	
212X	Cigars	4 	T	00222	
213X	Chewing and smoking tobacco	4 	T	00223	
214X	Tobacco stemming and redrying	4 	T	00224	
21XX	Tobacco products	3 	T	00220	
221X	Broadwoven fabric mills, cotton	4 	T	00226	
222X	Broadwoven fabric mills, manmade	4 	T	00227	
223X	Broadwoven fabric mills, wool	4 	T	00228	
224X	Narrow fabric mills	4 	T	00229	
2251	Women?s full-length and knee-length hosiery, except socks	5 	T	00231	
2252	Hosiery, n.e.c.	5 	T	00232	
2253	Knit outerwear mills	5 	T	00233	
2254	Knit underwear and nightwear mills	5 	T	00234	
2257	Weft knit fabric mills	5 	T	00235	
2258	Lace and warp knit fabric mills	5 	T	00236	
2259	Knitting mills, n.e.c.	5 	T	00237	
225X	Knitting mills	4 	T	00230	
2261	Finishers of broadwoven fabrics of cotton	5 	T	00239	
2262	Finishers of broadwoven fabrics of manmade fiber and silk	5 	T	00240	
2269	Finishers of textiles, n.e.c.	5 	T	00241	
226X	Textile finishing, except wool	4 	T	00238	
227X	Carpets and rugs	4 	T	00242	
2281	Yarn spinning mills	5 	T	00244	
2282	Yarn texturing, throwing, winding mills	5 	T	00245	
2284	Thread mills	5 	T	00246	
228X	Yarn and thread mills	4 	T	00243	
2295	Coated fabrics, not rubberized	5 	T	00248	
2296	Tire cord and fabrics	5 	T	00249	
2297	Nonwoven fabrics	5 	T	00250	
2298	Cordage and twine	5 	T	00251	
2299	Textile Goods, n.e.c.	5 	T	00252	
229X	Miscellaneous textile goods	4 	T	00247	
22XX	Textile mill products	3 	T	00225	
231X	Men's and boys' suits and coats	4 	T	00254	
2321	Men's and boys' shirts, except work shirts	5 	T	00256	
2322	Men's and boys' underwear and nightwear	5 	T	00257	
2323	Men's and boys' neckwear	5 	T	00258	
2325	Men's and boys' trousers and slacks	5 	T	00259	
2326	Men's and boys' work clothing	5 	T	00260	
2329	Men's and boys' clothing, n.e.c.	5 	T	00261	
232X	Men's and boys' furnishings	4 	T	00255	
2331	Women's, misses', and juniors' blouses and shirts	5 	T	00263	
2335	Women's, misses', and juniors' dresses	5 	T	00264	
2337	Women's, misses', and juniors' suits, skirts, and coats	5 	T	00265	
2339	Women's, misses', and juniors' outerwear, n.e.c.	5 	T	00266	
233X	Women's and misses' outerwear	4 	T	00262	
2341	Women's, misses', children's, and infants' underwear and nNightwear	5 	T	00268	
2342	Brassieres, girdles, and allied garments	5 	T	00269	
234X	Women's and children's undergarments	4 	T	00267	
235X	Hats, caps, and millinery	4 	T	00270	
2361	Girls', children's, and infants' dresses, blouses, and shirts	5 	T	00272	
2369	Girls', children's, and infants' outerwear, n.e.c.	5 	T	00273	
236X	Girls' and children's outerwear	4 	T	00271	
237X	Fur goods	4 	T	00274	
2381	Dress and work gloves, except knit and all-leather	5 	T	00276	
2384	Robes and dressing gowns	5 	T	00277	
2385	Waterproof outerwear	5 	T	00278	
2386	Leather and sheep-lined clothing	5 	T	00279	
2387	Apparel belts	5 	T	00280	
2389	Apparel and accessories, n.e.c.	5 	T	00281	
238X	Miscellaneous apparel and accessories	4 	T	00275	
2391	Curtains and draperies	5 	T	00283	
2392	Housefurnishings, except curtains and draperies	5 	T	00284	
2393	Textile bags	5 	T	00285	
2394	Canvas and related products	5 	T	00286	
2395	Pleating, decorative and novelty stitching, and tucking for the trade	5 	T	00287	
2396	Automotive trimmings, apparel findings, and related products	5 	T	00288	
2397	Schiffli machine embroideries	5 	T	00289	
2399	Fabricated textile products, n.e.c.	5 	T	00290	
239X	Miscellaneous fabricated textile products	4 	T	00282	
23XX	Apparel and other textile products	3 	T	00253	
241X	Logging	4 	T	00292	
2421	Sawmills and planing mills, general	5 	T	00294	
2426	Hardwood dimension and flooring mills	5 	T	00295	
2429	Special product sawmills, n.e.c.	5 	T	00296	
242X	Sawmills and planing mills	4 	T	00293	
2431	Millwork	5 	T	00298	
2434	Wood kitchen cabinets	5 	T	00299	
2435	Hardwood veneer and plywood	5 	T	00300	
2436	Softwood veneer and plywood	5 	T	00301	
2439	Structural Wood Members, n.e.c.	5 	T	00302	
243X	Millwork, plywood and structural members	4 	T	00297	
2441	Nailed and lock corner wood boxes and shook	5 	T	00304	
2448	Wood pallets and skids	5 	T	00305	
2449	Wood containers, n.e.c.	5 	T	00306	
244X	Wood containers	4 	T	00303	
2451	Mobile homes	5 	T	00308	
2452	Prefabricated wood buildings	5 	T	00309	
245X	Wood buildings and mobile homes	4 	T	00307	
2491	Wood preserving	5 	T	00311	
2493	Reconstituted wood products	5 	T	00312	
2499	Wood products, n.e.c.	5 	T	00313	
249X	Miscellaneous wood products	4 	T	00310	
24XX	Lumber and wood products	3 	T	00291	
2511	Wood household furniture	5 	T	00316	
2512	Upholstered household furniture	5 	T	00317	
2514	Metal household furniture	5 	T	00318	
2515	Mattresses and bedsprings	5 	T	00319	
2517	Wood television and radio cabinets	5 	T	00320	
2519	Household furniture, n.e.c.	5 	T	00321	
251X	Household furniture	4 	T	00315	
2521	Wood office furniture	5 	T	00323	
2522	Office furniture, except wood	5 	T	00324	
252X	Office furniture	4 	T	00322	
253X	Public building and related furniture	4 	T	00325	
2541	Wood partitions and fixtures	5 	T	00327	
2542	Partitions and fixtures, except wood	5 	T	00328	
254X	Partitions and fixtures	4 	T	00326	
2591	Drapery hardware and blinds and shades	5 	T	00330	
2599	Furniture and fixtures, n.e.c.	5 	T	00331	
259X	Miscellaneous furniture and fixtures	4 	T	00329	
25XX	Furniture and fixtures	3 	T	00314	
261X	Pulp mills	4 	T	00333	
262X	Paper mills	4 	T	00334	
263X	Paperboard mills	4 	T	00335	
2652	Setup paperboard boxes	5 	T	00337	
2653	Corrugated and solid fiber boxes	5 	T	00338	
2655	Fiber cans, drums and similar products	5 	T	00339	
2656	Sanitary food containers	5 	T	00340	
2657	Folding paperboard boxes	5 	T	00341	
265X	Paperboard containers and boxes	4 	T	00336	
2671	Paper coated and laminated, packaging	5 	T	00343	
2672	Paper coated and laminated, n.e.c.	5 	T	00344	
2673	Bags: plastics, laminated, and coated	5 	T	00345	
2674	Bags: uncoated paper and multiwall	5 	T	00346	
2675	Die-cut paper and board	5 	T	00347	
2676	Sanitary paper products	5 	T	00348	
2677	Envelopes	5 	T	00349	
2678	Stationery products	5 	T	00350	
2679	Converted paper products, n.e.c.	5 	T	00351	
267X	Miscellaneous converted paper products	4 	T	00342	
26XX	Paper and allied products	3 	T	00332	
271X	Newspapers	4 	T	00353	
272X	Periodicals	4 	T	00354	
2731	Book publishing	5 	T	00356	
2732	Book printing	5 	T	00357	
273X	Books	4 	T	00355	
274X	Miscellaneous publishing	4 	T	00358	
2752	Commercial printing, lithographic	5 	T	00360	
2754	Commercial printing, gravure	5 	T	00361	
2759	Commercial printing, n.e.c.	5 	T	00362	
275X	Commercial printing	4 	T	00359	
276X	Manifold business forms	4 	T	00363	
277X	Greeting cards	4 	T	00364	
2782	Blankbooks and looseleaf binders	5 	T	00366	
2789	Bookbinding and related work	5 	T	00367	
278X	Blankbooks and bookbinding	4 	T	00365	
2791	Typesetting	5 	T	00369	
2796	Platemaking services	5 	T	00370	
279X	Printing trade services	4 	T	00368	
27XX	Printing and publishing	3 	T	00352	
2812	Alkalies and chlorine	5 	T	00373	
2813	Industrial gases	5 	T	00374	
2816	Inorganic pigments	5 	T	00375	
2819	Industrial inorganic chemicals, n.e.c.	5 	T	00376	
281X	Industrial inorganic chemicals	4 	T	00372	
2821	Plastics materials and resins	5 	T	00378	
2822	Synthetic rubber	5 	T	00379	
2823	Cellulosic manmade fibers	5 	T	00380	
2824	Organic fibers, noncellulosic	5 	T	00381	
282X	Plastics materials and synthetics	4 	T	00377	
2833	Medicinals and botanicals	5 	T	00383	
2834	Pharmaceutical preparations	5 	T	00384	
2835	Diagnostic substances	5 	T	00385	
2836	Biological products except diagnostic	5 	T	00386	
283X	Drugs	4 	T	00382	
2841	Soap and other detergents	5 	T	00388	
2842	Polishes and sanitation goods	5 	T	00389	
2843	Surface active agents	5 	T	00390	
2844	Toilet preparations	5 	T	00391	
284X	Soap, cleaners, and toilet goods	4 	T	00387	
285X	Paints and allied products	4 	T	00392	
2861	Gum and wood chemicals	5 	T	00394	
2865	Cyclic crudes and intermediates	5 	T	00395	
2869	Industrial organic chemicals, n.e.c.	5 	T	00396	
286X	Industrial organic chemicals	4 	T	00393	
2873	Nitrogenous fertilizers	5 	T	00398	
2874	Phosphatic fertilizers	5 	T	00399	
2875	Fertilizers, mixing only	5 	T	00400	
2879	Agricultural chemicals, n.e.c.	5 	T	00401	
287X	Agricultural chemicals	4 	T	00397	
2891	Adhesives and sealants	5 	T	00403	
2892	Explosives	5 	T	00404	
2893	Printing ink	5 	T	00405	
2895	Carbon black	5 	T	00406	
2899	Chemical preparations, n.e.c.	5 	T	00407	
289X	Miscellaneous chemical products	4 	T	00402	
28XX	Chemicals and allied products	3 	T	00371	
291X	Petroleum refining	4 	T	00409	
2951	Asphalt paving mixtures and blocks	5 	T	00411	
2952	Asphalt felts and coatings	5 	T	00412	
295X	Asphalt paving and roofing materials	4 	T	00410	
2992	Lubricating oils and greases	5 	T	00414	
2999	Petroleum and coal products, n.e.c.	5 	T	00415	
299X	Miscellaneous petroleum and coal products	4 	T	00413	
29XX	Petroleum and coal products	3 	T	00408	
301X	Tires and inner tubes	4 	T	00417	
302X	Rubber and plastics footwear	4 	T	00418	
3052	Rubber and plastics hose and belting	5 	T	00420	
3053	Gaskets, packing and sealing devices	5 	T	00421	
305X	Hose and belting and gaskets and packing	4 	T	00419	
3061	Mechanical rubber goods	5 	T	00423	
3069	Fabricated rubber products, n.e.c.	5 	T	00424	
306X	Fabricated rubber products, n.e.c.	4 	T	00422	
3081	Unsupported plastics film and sheet	5 	T	00426	
3082	Unsupported plastics profile shapes	5 	T	00427	
3083	Laminated plastics plate and sheet	5 	T	00428	
3084	Plastics pipe	5 	T	00429	
3085	Plastics bottles	5 	T	00430	
3086	Plastics foam products	5 	T	00431	
3087	Custom compound purchased resins	5 	T	00432	
3088	Plastics plumbing fixtures	5 	T	00433	
3089	Plastics products, n.e.c.	5 	T	00434	
308X	Miscellaneous plastics products, n.e.c.	4 	T	00425	
30XX	Rubber and miscellaneous plastics products	3 	T	00416	
311X	Leather tanning and finishing	4 	T	00436	
313X	Footwear cut stock	4 	T	00437	
3142	House slippers	5 	T	00439	
3143	Men's footwear, except athletic	5 	T	00440	
3144	Women's footwear, except athletic	5 	T	00441	
3149	Footwear, except rubber, n.e.c.	5 	T	00442	
314X	Footwear, except rubber	4 	T	00438	
315X	Leather gloves and mittens	4 	T	00443	
316X	Luggage	4 	T	00444	
3171	Women's handbags and purses	5 	T	00446	
3172	Personal leather goods, n.e.c.	5 	T	00447	
317X	Handbags and personal leather goods	4 	T	00445	
319X	Leather goods, n.e.c.	4 	T	00448	
31XX	Leather and leather products	3 	T	00435	
321X	Flat glass	4 	T	00450	
3221	Glass containers	5 	T	00452	
3229	Pressed and blown glass, n.e.c.	5 	T	00453	
322X	Glass and glassware, pressed or blown	4 	T	00451	
323X	Products of purchased glass	4 	T	00454	
324X	Cement, hydraulic	4 	T	00455	
3251	Brick and structural clay tile	5 	T	00457	
3253	Ceramic wall and floor tile	5 	T	00458	
3255	Clay refractories	5 	T	00459	
3259	Structural clay products, n.e.c.	5 	T	00460	
325X	Structural clay products	4 	T	00456	
3261	Vitreous plumbing fixtures	5 	T	00462	
3262	Vitreous china table and kitchenware	5 	T	00463	
3263	Semivitreous table and kitchenware	5 	T	00464	
3264	Porcelain electrical supplies	5 	T	00465	
3269	Pottery products, n.e.c.	5 	T	00466	
326X	Pottery and related products	4 	T	00461	
3271	Concrete block and brick	5 	T	00468	
3272	Concrete products, n.e.c.	5 	T	00469	
3273	Ready-mixed concrete	5 	T	00470	
3274	Lime	5 	T	00471	
3275	Gypsum products	5 	T	00472	
327X	Concrete, gypsum, and plaster products	4 	T	00467	
328X	Cut stone and stone products	4 	T	00473	
3291	Abrasive products	5 	T	00475	
3292	Asbestos products	5 	T	00476	
3295	Minerals, ground or treated	5 	T	00477	
3296	Mineral wool	5 	T	00478	
3297	Nonclay refractories	5 	T	00479	
3299	Nonmetallic mineral products, n.e.c.	5 	T	00480	
329X	Miscellaneous nonmetallic mineral products	4 	T	00474	
32XX	Stone, clay, and glass products	3 	T	00449	
3312	Blast furnaces and steel mills	5 	T	00483	
3313	Electrometallurgical products	5 	T	00484	
3315	Steel wire and related products	5 	T	00485	
3316	Cold finishing of steel shapes	5 	T	00486	
3317	Steel pipe and tubes	5 	T	00487	
331X	Blast furnace and basic steel products	4 	T	00482	
3321	Gray and ductile iron foundries	5 	T	00489	
3322	Malleable iron foundries	5 	T	00490	
3324	Steel investment foundries	5 	T	00491	
3325	Steel foundries, n.e.c.	5 	T	00492	
332X	Iron and steel foundries	4 	T	00488	
3331	Primary copper	5 	T	00494	
3334	Primary aluminum	5 	T	00495	
3339	Primary nonferrous metals, n.e.c.	5 	T	00496	
333X	Primary nonferrous metals	4 	T	00493	
334X	Secondary nonferrous metals	4 	T	00497	
3351	Copper rolling and drawing	5 	T	00499	
3353	Aluminum sheet, plate, and foil	5 	T	00500	
3354	Aluminum extruded products	5 	T	00501	
3355	Aluminum rolling and drawing, n.e.c.	5 	T	00502	
3356	Nonferrous rolling and drawing, n.e.c.	5 	T	00503	
3357	Nonferrous wiredrawing and insulating	5 	T	00504	
335X	Nonferrous rolling and drawing	4 	T	00498	
3363	Aluminum die-castings	5 	T	00506	
3364	Nonferrous die-casting except aluminum	5 	T	00507	
3365	Aluminum foundries	5 	T	00508	
3366	Copper foundries	5 	T	00509	
3369	Nonferrous foundries, n.e.c.	5 	T	00510	
336X	Nonferrous foundries (castings)	4 	T	00505	
3398	Metal heat treating	5 	T	00512	
3399	Primary metal products, n.e.c.	5 	T	00513	
339X	Miscellaneous primary metal products	4 	T	00511	
33XX	Primary metal industries	3 	T	00481	
3411	Metal cans	5 	T	00516	
3412	Metal barrels, drums, and pails	5 	T	00517	
341X	Metal cans and shipping containers	4 	T	00515	
3421	Cutlery	5 	T	00519	
3423	Hand and edge tools, n.e.c.	5 	T	00520	
3425	Saw blades and handsaws	5 	T	00521	
3429	Hardware, n.e.c.	5 	T	00522	
342X	Cutlery, handtools, and hardware	4 	T	00518	
3431	Metal sanitary ware	5 	T	00524	
3432	Plumbing fixture fittings and trim	5 	T	00525	
3433	Heating equipment, except electric	5 	T	00526	
343X	Plumbing and heating, except electric	4 	T	00523	
3441	Fabricated structural metal	5 	T	00528	
3442	Metal doors, sash, and trim	5 	T	00529	
3443	Fabricated plate work (boiler shops)	5 	T	00530	
3444	Sheet metal work	5 	T	00531	
3446	Architectural metal work	5 	T	00532	
3448	Prefabricated metal buildings	5 	T	00533	
3449	Miscellaneous metal work	5 	T	00534	
344X	Fabricated structural metal products	4 	T	00527	
3451	Screw machine products	5 	T	00536	
3452	Bolts, nuts, rivets, and washers	5 	T	00537	
345X	Screw machine products, bolts, etc.	4 	T	00535	
3462	Iron and steel forgings	5 	T	00539	
3463	Nonferrous forgings	5 	T	00540	
3465	Automotive stampings	5 	T	00541	
3466	Crowns and closures	5 	T	00542	
3469	Metal stampings, n.e.c.	5 	T	00543	
346X	Metal forgings and stampings	4 	T	00538	
3471	Plating and polishing	5 	T	00545	
3479	Metal coating and allied services	5 	T	00546	
347X	Metal services, n.e.c.	4 	T	00544	
3482	Small arms ammunition	5 	T	00548	
3483	Ammunition, except for small arms, n.e.c.	5 	T	00549	
3484	Small arms	5 	T	00550	
3489	Ordnance and accessories, n.e.c.	5 	T	00551	
348X	Ordnance and accessories, n.e.c.	4 	T	00547	
3491	Industrial valves	5 	T	00553	
3492	Fluid power valves and hose fittings	5 	T	00554	
3493	Steel springs, except wire	5 	T	00555	
3494	Valves and pipe fittings, n.e.c.	5 	T	00556	
3495	Wire springs	5 	T	00557	
3496	Miscellaneous fabricated wire products	5 	T	00558	
3497	Metal foil and leaf	5 	T	00559	
3498	Fabricated pipe and fittings	5 	T	00560	
3499	Fabricated metal products, n.e.c.	5 	T	00561	
349X	Miscellaneous fabricated metal products	4 	T	00552	
34XX	Fabricated metal products	3 	T	00514	
3511	Turbines and turbine generator sets	5 	T	00564	
3519	Internal combustion engines, n.e.c.	5 	T	00565	
351X	Engines and turbines	4 	T	00563	
3523	Farm machinery and equipment	5 	T	00567	
3524	Lawn and garden equipment	5 	T	00568	
352X	Farm and garden machinery	4 	T	00566	
3531	Construction machinery	5 	T	00570	
3532	Mining machinery	5 	T	00571	
3533	Oil and gas field machinery	5 	T	00572	
