occupation_code	occupation_text	display_level	selectable	sort_sequence
492098	Security and Fire Alarm Systems Installers	4	T	1045	
49209X	Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers	3	T	1037	
492XXX	Electrical and Electronic Equipment Mechanics, Installers, and Repairers	2	T	1031	
493011	Aircraft Mechanics and Service Technicians	4	T	1048	
49301X	Aircraft Mechanics and Service Technicians	3	T	1047	
493021	Automotive Body and Related Repairers	4	T	1050	
493023	Automotive Service Technicians and Mechanics	4	T	1052	
49302X	Automotive Technicians and Repairers	3	T	1049	
493031	Bus and Truck Mechanics and Diesel Engine Specialists	4	T	1054	
49303X	Bus and Truck Mechanics and Diesel Engine Specialists	3	T	1053	
493041	Farm Equipment Mechanics	4	T	1056	
493042	Mobile Heavy Equipment Mechanics, Except Engines	4	T	1057	
493043	Rail Car Repairers	4	T	1058	
49304X	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics	3	T	1055	
493052	Motorcycle Mechanics	4	T	1061	
493053	Outdoor Power Equipment and Other Small Engine Mechanics	4	T	1062	
49305X	Small Engine Mechanics	3	T	1059	
493093	Tire Repairers and Changers	4	T	1066	
49309X	Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	3	T	1063	
493XXX	Vehicle and Mobile Equipment Mechanics, Installers, and Repairers	2	T	1046	
499012	Control and Valve Installers and Repairers, Except Mechanical Door	4	T	1070	
49901X	Control and Valve Installers and Repairers	3	T	1068	
499021	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	4	T	1072	
49902X	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	3	T	1071	
499031	Home Appliance Repairers	4	T	1074	
49903X	Home Appliance Repairers	3	T	1073	
499041	Industrial Machinery Mechanics	4	T	1076	
499042	Maintenance and Repair Workers, General	4	T	1077	
499043	Maintenance Workers, Machinery	4	T	1078	
499044	Millwrights	4	T	1079	
49904X	Industrial Machinery Installation, Repair, and Maintenance Workers	3	T	1075	
499051	Electrical Power-Line Installers and Repairers	4	T	1082	
499052	Telecommunications Line Installers and Repairers	4	T	1083	
49905X	Line Installers and Repairers	3	T	1081	
49906X	Precision Instrument and Equipment Repairers	3	T	1084	
499091	Coin, Vending, and Amusement Machine Servicers and Repairers	4	T	1091	
499092	Commercial Divers	4	T	1092	
499094	Locksmiths and Safe Repairers	4	T	1094	
499095	Manufactured Building and Mobile Home Installers	4	T	1095	
499096	Riggers	4	T	1096	
499097	Signal and Track Switch Repairers	4	T	1097	
499098	Helpers--Installation, Maintenance, and Repair Workers	4	T	1098	
499099	Installation, Maintenance, and Repair Workers, All Other	4	T	1099	
49909X	Miscellaneous Installation, Maintenance, and Repair Workers	3	T	1090	
499XXX	Other Installation, Maintenance, and Repair Occupations	2	T	1067	
49XXXX	Installation, Maintenance, and Repair Occupations	1	T	1027	
511011	First-Line Supervisors/Managers of Production and Operating Workers	4	T	1104	
51101X	First-Line Supervisors/Managers of Production and Operating Workers	3	T	1103	
511XXX	Supervisors, Production workers	2	T	1102	
51202X	Electrical, Electronics, and Electromechanical Assemblers	3	T	1108	
512041	Structural Metal Fabricators and Fitters	4	T	1115	
51204X	Structural Metal Fabricators and Fitters	3	T	1114	
512099	Assemblers and Fabricators, All Other	4	T	1120	
51209X	Miscellaneous Assemblers and Fabricators	3	T	1116	
512XXX	Assemblers and Fabricators	2	T	1105	
513011	Bakers	4	T	1123	
51301X	Bakers	3	T	1122	
513021	Butchers and Meat Cutters	4	T	1125	
513022	Meat, Poultry, and Fish Cutters and Trimmers	4	T	1126	
513023	Slaughterers and Meat Packers	4	T	1127	
51302X	Butchers and Other Meat, Poultry, and Fish Processing Workers	3	T	1124	
513091	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	4	T	1129	
513092	Food Batchmakers	4	T	1130	
51309X	Miscellaneous Food Processing Workers	3	T	1128	
513XXX	Food Processing Workers	2	T	1121	
514022	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	4	T	1138	
51402X	Forming Machine Setters, Operators, and Tenders, Metal and Plastic	3	T	1136	
514031	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	4	T	1141	
514033	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators and Tenders	4	T	1143	
51403X	Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic	3	T	1140	
514041	Machinists	4	T	1147	
51404X	Machinists	3	T	1146	
514051	Metal-Refining Furnace Operators and Tenders	4	T	1149	
51405X	Metal Furnace and Kiln Operators and Tenders	3	T	1148	
514072	Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	4	T	1156	
51407X	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic	3	T	1154	
514121	Welders, Cutters, Solderers, and Brazers	4	T	1162	
514122	Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders	4	T	1163	
51412X	Welding, Soldering, and Brazing Workers	3	T	1161	
514193	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	4	T	1167	
514199	Metal Workers and Plastic Workers, All Other	4	T	1169	
51419X	Miscellaneous Metalworkers and Plastic Workers	3	T	1164	
514XXX	Metal Workers and Plastic Workers	2	T	1132	
515023	Printing Machine Operators	4	T	1177	
51502X	Printers	3	T	1174	
515XXX	Printing Workers	2	T	1170	
516011	Laundry and Dry-Cleaning Workers	4	T	1180	
51601X	Laundry and Dry-Cleaning Workers	3	T	1179	
51609X	Miscellaneous Textile, Apparel, and Furnishings Workers	3	T	1196	
516XXX	Textile, Apparel, and Furnishings Workers	2	T	1178	
517011	Cabinetmakers and Bench Carpenters	4	T	1203	
51701X	Cabinetmakers and Bench Carpenters	3	T	1202	
517041	Sawing Machine Setters, Operators, and Tenders, Wood	4	T	1210	
517042	Woodworking Machine Setters, Operators, and Tenders, Except Sawing	4	T	1211	
51704X	Woodworking Machine Setters, Operators, and Tenders	3	T	1209	
517099	Woodworkers, All Other	4	T	1213	
51709X	Miscellaneous Woodworkers	3	T	1212	
517XXX	Woodworkers	2	T	1201	
518021	Stationary Engineers and Boiler Operators	4	T	1220	
51802X	Stationary Engineers and Boiler Operators	3	T	1219	
518031	Water and Liquid Waste Treatment Plant and System Operators	4	T	1222	
51803X	Water and Liquid Waste Treatment Plant and System Operators	3	T	1221	
518093	Petroleum Pump System Operators, Refinery Operators, and Gaugers	4	T	1226	
51809X	Miscellaneous Plant and System Operators	3	T	1223	
518XXX	Plant and System Operators	2	T	1214	
519011	Chemical Equipment Operators and Tenders	4	T	1230	
519012	Separating, Filtering, Clarifying, Precipitating	4	T	1231	
51901X	Chemical Processing Machine Setters, Operators, and Tenders	3	T	1229	
519021	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	4	T	1233	
519023	Mixing and Blending Machine Setters, Operators, and Tenders	4	T	1235	
51902X	Crushing, Grinding, Polishing, Mixing, and Blending Workers	3	T	1232	
519032	Cutting and Slicing Machine Setters, Operators, and Tenders	4	T	1238	
51903X	Cutting Workers	3	T	1236	
519041	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	4	T	1240	
51904X	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	3	T	1239	
519051	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	4	T	1242	
51905X	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	3	T	1241	
519061	Inspectors, Testers, Sorters, Samplers, and Weighers	4	T	1244	
51906X	Inspectors, Testers, Sorters, Samplers, and Weighers	3	T	1243	
519111	Packaging and Filling Machine Operators and Tenders	4	T	1252	
51911X	Packaging and Filling Machine Operators and Tenders	3	T	1251	
519121	Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	4	T	1254	
519122	Painters, Transportation Equipment	4	T	1255	
519123	Painting, Coating, and Decorating Workers	4	T	1256	
51912X	Painting Workers	3	T	1253	
519196	Paper Goods Machine Setters, Operators, and Tenders	4	T	1268	
519198	Helpers--Production Workers	4	T	1270	
519199	Production Workers, All Other	4	T	1271	
51919X	Miscellaneous Production Workers	3	T	1262	
519XXX	Other Production Occupations	2	T	1228	
51XXXX	Production Occupations	1	T	1100	
531021	First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand	4	T	1276	
53102X	First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand	3	T	1275	
531031	First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators	4	T	1278	
53103X	First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators	3	T	1277	
531XXX	Supervisors, Transportation and Material Moving Workers	2	T	1272	
532011	Airline Pilots, Copilots, and Flight Engineers	4	T	1281	
532012	Commercial Pilots	4	T	1282	
53201X	Aircraft Pilots and Flight Engineers	3	T	1280	
532022	Airfield Operations Specialists	4	T	1285	
53202X	Air Traffic Controllers and Airfield Operations Specialists	3	T	1283	
532XXX	Air Transportation Workers	2	T	1279	
533011	Ambulance Drivers and Attendants, Except Emergency Medical Technicians	4	T	1288	
53301X	Ambulance Drivers and Attendants, Except Emergency Medical Technicians	3	T	1287	
533021	Bus Drivers, Transit and Intercity	4	T	1290	
533022	Bus Drivers, School	4	T	1291	
53302X	Bus Drivers	3	T	1289	
533031	Driver/Sales Workers	4	T	1293	
533032	Truck Drivers, Heavy and Tractor-Trailer	4	T	1294	
533033	Truck Drivers, Light or Delivery Services	4	T	1295	
53303X	Driver/Sales Workers and Truck Drivers	3	T	1292	
533041	Taxi Drivers and Chauffeurs	4	T	1297	
53304X	Taxi Drivers and Chauffeurs	3	T	1296	
533099	Motor Vehicle Operators, All Other	4	T	1299	
53309X	Miscellaneous Motor Vehicle Operators	3	T	1298	
533XXX	Motor Vehicle Operators	2	T	1286	
534011	Locomotive Engineers	4	T	1302	
53401X	Locomotive Engineers and Operators	3	T	1301	
534021	Railroad Brake, Signal, and Switch Operators	4	T	1306	
53402X	Railroad Brake, Signal, and Switch Operators	3	T	1305	
534031	Railroad Conductors and Yardmasters	4	T	1308	
53403X	Railroad Conductors and Yardmasters	3	T	1307	
534099	Rail Transportation Workers, All Other	4	T	1312	
53409X	Miscellaneous Rail Transportation Workers	3	T	1311	
534XXX	Rail Transportation Workers	2	T	1300	
535011	Sailors and Marine Oilers	4	T	1315	
53501X	Sailors and Marine Oilers	3	T	1314	
535021	Captains, Mates, and Pilots of Water Vessels	4	T	1317	
53502X	Ship and Boat Captains and Operators	3	T	1316	
535031	Ship Engineers	4	T	1320	
53503X	Ship Engineers	3	T	1319	
535XXX	Water Transportation Workers	2	T	1313	
536021	Parking Lot Attendants	4	T	1325	
53602X	Parking Lot Attendants	3	T	1324	
536031	Service Station Attendants	4	T	1327	
53603X	Service Station Attendants	3	T	1326	
536051	Transportation Inspectors	4	T	1331	
53605X	Transportation Inspectors	3	T	1330	
536099	Transportation Workers, All Other	4	T	1333	
53609X	Miscellaneous Transportation Workers	3	T	1332	
536XXX	Other Transportation Workers	2	T	1321	
537011	Conveyor Operators and Tenders	4	T	1336	
53701X	Conveyor Operators and Tenders	3	T	1335	
537021	Crane and Tower Operators	4	T	1338	
53702X	Crane and Tower Operators	3	T	1337	
537031	Dredge Operators	4	T	1340	
537032	Excavating and Loading Machine and Dragline Operators	4	T	1341	
53703X	Dredge, Excavating, and Loading Machine Operators	3	T	1339	
537041	Hoist and Winch Operators	4	T	1344	
53704X	Hoist and Winch Operators	3	T	1343	
537051	Industrial Truck and Tractor Operators	4	T	1346	
53705X	Industrial Truck and Tractor Operators	3	T	1345	
537061	Cleaners of Vehicles and Equipment	4	T	1348	
537062	Laborers and Freight, Stock, and Material Movers, Hand	4	T	1349	
537063	Machine Feeders and Offbearers	4	T	1350	
537064	Packers and Packagers, Hand	4	T	1351	
53706X	Laborers and Material Movers, Hand	3	T	1347	
537073	Wellhead Pumpers	4	T	1355	
53707X	Pumping Station Operators	3	T	1352	
537081	Refuse and Recyclable Material Collectors	4	T	1357	
53708X	Refuse and Recyclable Material Collectors	3	T	1356	
537199	Material Moving Workers, All Other	4	T	1363	
53719X	Miscellaneous Material Moving Workers	3	T	1362	
537XXX	Material Moving Workers	2	T	1334	
53XXXX	Transportation and Material Moving Occupations	1	T	1101	
551017	Special Forces Officers	4	T	1373	
551019	Military Officer Special and Tactical Operations Leaders/Managers, All Other	4	T	1374	
55101X	Military Officer Special and Tactical Operations Leaders/Managers	3	T	1366	
551XXX	Military Officer Special and Tactical Operations Leaders/Managers	2	T	1365	
552011	First-Line Supervisors/Managers of Air Crew Members	4	T	1377	
552013	First-Line Supervisors/Managers of All Other Tactical Operations Specialists	4	T	1379	
55201X	First-Line Enlisted Military Supervisors/Managers	3	T	1376	
552XXX	First-Line Enlisted Military Supervisor/Managers	2	T	1375	
553011	Air Crew Members	4	T	1382	
553013	Armored Assault Vehicle Crew Members	4	T	1384	
553016	Infantry	4	T	1387	
553018	Special Forces	4	T	1389	
553019	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other	4	T	1390	
55301X	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members	3	T	1381	
553XXX	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members	2	T	1380	
55XXXX	Military specific occupations	1	T	1364	
