occupation_code	occupation_text	display_level	selectable	sort_sequence
211021	Child, Family, and School Social Workers	4	T	296	
211023	Mental Health and Substance Abuse Social Workers	4	T	298	
211029	Social Workers, All Other	4	T	299	
21102X	Social Workers	3	T	295	
211092	Probation Officers and Correctional Treatment Specialists	4	T	302	
211093	Social and Human Service Assistants	4	T	303	
211099	Community and Social Service Specialists, All Other	4	T	304	
21109X	Miscellaneous Community and Social Service Specialists	3	T	300	
211XXX	Counselors, Social Workers, and Other Community and Social Service Specialists	2	T	287	
212011	Clergy	4	T	307	
21201X	Clergy	3	T	306	
212021	Directors, Religious Activities and Education	4	T	309	
21202X	Directors, Religious Activities and Education	3	T	308	
212099	Religious Workers, All Other	4	T	311	
21209X	Miscellaneous Religious Workers	3	T	310	
212XXX	Religious Workers	2	T	305	
21XXXX	Community and Social Services Occupations	1	T	286	
231011	Lawyers	4	T	315	
23101X	Lawyers	3	T	314	
231XXX	Lawyers, Judges, and Related Workers	2	T	313	
23209X	Miscellaneous Legal Support Workers	3	T	323	
232XXX	Legal Support Workers	2	T	320	
23XXXX	Legal Occupations	1	T	312	
251191	Graduate Teaching Assistants	4	T	374	
251194	Vocational Education Teachers, Postsecondary	4	T	377	
251199	Postsecondary Teachers, All Other	4	T	378	
25119X	Miscellaneous Postsecondary Teachers	3	T	373	
251XXX	Postsecondary Teachers	2	T	329	
252021	Elementary School Teachers, Except Special Education	4	T	384	
25202X	Elementary and Middle School Teachers	3	T	383	
252031	Secondary School Teachers, Except Special and Vocational Education	4	T	388	
25203X	Secondary School Teachers	3	T	387	
252XXX	Primary, Secondary, and Special Education School Teachers	2	T	379	
253021	Self-Enrichment Education Teachers	4	T	398	
25302X	Self-Enrichment Education Teachers	3	T	397	
253099	Teachers and Instructors, All Other	4	T	400	
25309X	Miscellaneous Teachers and Instructors	3	T	399	
253XXX	Other Teachers and Instructors	2	T	394	
254021	Librarians	4	T	407	
25402X	Librarians	3	T	406	
254XXX	Librarians, Curators, and Archivists	2	T	401	
259041	Teacher Assistants	4	T	418	
25904X	Teacher Assistants	3	T	417	
259XXX	Other Education, Training, and Library Occupations	2	T	410	
25XXXX	Education, Training, and Library Occupations	1	T	328	
271013	Fine Artists, Including Painters, Sculptors, and Illustrators	4	T	426	
27101X	Artists and Related Workers	3	T	423	
271023	Floral Designers	4	T	432	
27102X	Designers	3	T	429	
271XXX	Art and Design Workers	2	T	422	
27201X	Actors, Producers, and Directors	3	T	439	
272021	Athletes and Sports Competitors	4	T	443	
272022	Coaches and Scouts	4	T	444	
272023	Umpires, Referees, and Other Sports Officials	4	T	445	
27202X	Athletes, Coaches, Umpires, and Related Workers	3	T	442	
272042	Musicians and Singers	4	T	451	
27204X	Musicians, Singers, and Related Workers	3	T	449	
272099	Entertainers and Performers, Sports and Related Workers, All Other	4	T	453	
27209X	Miscellaneous Entertainers and Performers, Sports and Related Workers	3	T	452	
272XXX	Entertainers and Performers, Sports and Related Workers	2	T	438	
273012	Public Address System and Other Announcers	4	T	457	
27301X	Announcers	3	T	455	
273022	Reporters and Correspondents	4	T	460	
27302X	News Analysts, Reporters and Correspondents	3	T	458	
273031	Public Relations Specialists	4	T	462	
27303X	Public Relations Specialists	3	T	461	
273XXX	Media and Communication Workers	2	T	454	
27401X	Broadcast and Sound Engineering Technicians and Radio Operators	3	T	471	
274021	Photographers	4	T	477	
27402X	Photographers	3	T	476	
274031	Camera Operators, Television, Video, and Motion Picture	4	T	479	
27403X	Television, Video, and Motion Picture Camera Operators and Editors	3	T	478	
274XXX	Media and Communication Equipment Workers	2	T	470	
27XXXX	Arts, Design, Entertainment, Sports, and Media Occupations	1	T	421	
291021	Dentists, General	4	T	488	
29102X	Dentists	3	T	487	
291051	Pharmacists	4	T	498	
29105X	Pharmacists	3	T	497	
291062	Family and General Practitioners	4	T	501	
291067	Surgeons	4	T	506	
291069	Physicians and Surgeons, All Other	4	T	507	
29106X	Physicians and Surgeons	3	T	499	
291111	Registered Nurses	4	T	513	
29111X	Registered Nurses	3	T	512	
291129	Therapists, All Other	4	T	522	
29112X	Therapists	3	T	514	
291131	Veterinarians	4	T	524	
29113X	Veterinarians	3	T	523	
291XXX	Health Diagnosing and Treating Practitioners	2	T	484	
292012	Medical and Clinical Laboratory Technicians	4	T	530	
29201X	Clinical Laboratory Technologists and Technicians	3	T	528	
292041	Emergency Medical Technicians and Paramedics	4	T	539	
29204X	Emergency Medical Technicians and Paramedics	3	T	538	
29205X	Health Diagnosing and Treating Practitioner Support Technicians	3	T	540	
292061	Licensed Practical and Licensed Vocational Nurses	4	T	548	
29206X	Licensed Practical and Licensed Vocational Nurses	3	T	547	
292XXX	Health Technologists and Technicians	2	T	527	
299XXX	Other Healthcare Practitioners and Technical Occupations	2	T	556	
29XXXX	Healthcare Practitioners and Technical Occupations	1	T	483	
311011	Home Health Aides	4	T	566	
311012	Nursing Aides, Orderlies, and Attendants	4	T	567	
31101X	Nursing, Psychiatric, and Home Health Aides	3	T	565	
311XXX	Nursing, Psychiatric, and Home Health Aides	2	T	564	
319099	Healthcare Support Workers, All Other	4	T	586	
31909X	Miscellaneous Healthcare Support Occupations	3	T	579	
319XXX	Other Healthcare Support Occupations	2	T	576	
31XXXX	Healthcare Support Occupations	1	T	563	
331012	First-Line Supervisors/Managers of Police and Detectives	4	T	591	
33101X	First-Line Supervisors/Managers, Law Enforcement Workers	3	T	589	
331021	First-Line Supervisors/Managers of Fire Fighting and Prevention Workers	4	T	593	
33102X	First-Line Supervisors/Managers, Fire Fighting and Prevention Workers	3	T	592	
331099	First-Line Supervisors/Managers, Protective Service Workers, All Other	4	T	595	
