industry_code	industry_text	display_level	selectable	sort_sequence
2362XX	Nonresidential Building Construction	5	T	159	
236XXX	Construction of Buildings	4	T	152	
23711X	Water and Sewer Line and Related Structures Construction	6	T	164	
23712X	Oil and Gas Pipeline and Related Structures Construction	6	T	165	
23713X	Power and Communication Line and Related Structures Construction	6	T	166	
2371XX	Utility System Construction	5	T	163	
23721X	Land Subdivision	6	T	168	
2372XX	Land Subdivision	5	T	167	
23731X	Highway, Street, and Bridge Construction	6	T	170	
2373XX	Highway, Street, and Bridge Construction	5	T	169	
23799X	Other Heavy and Civil Engineering Construction	6	T	172	
2379XX	Other Heavy and Civil Engineering Construction	5	T	171	
237XXX	Heavy and Civil Engineering Construction	4	T	162	
238001	Residential specialty trade contractors	7	T	174	
238111	Residential poured Concrete Foundation and Structure Contractors	7	T	180	
238112	Nonresidential poured Concrete Foundation and Structure Contractors	7	T	181	
23811X	Poured Concrete Foundation and Structure Contractors	6	T	179	
238121	Residential Structural Steel and Precast Concrete Contractors	7	T	183	
238122	Nonresidential Structural Steel and Precast Concrete Contractors	7	T	184	
23812X	Structural Steel and Precast Concrete Contractors	6	T	182	
238131	Residential framing contractors	7	T	186	
238132	Nonresidential framing contractors	7	T	187	
23813X	Framing Contractors	6	T	185	
238141	Residential masonry contractors	7	T	189	
238142	Nonresidential masonry contractors	7	T	190	
23814X	Masonry Contractors	6	T	188	
238152	Non residential glass and glazing contractors	7	T	193	
23815X	Glass and Glazing Contractors	6	T	191	
238161	Residential roofing contractors	7	T	195	
238162	Nonresidential roofing contractors	7	T	196	
23816X	Roofing Contractors	6	T	194	
238171	Residential siding contractors	7	T	198	
238172	Nonresidential siding contractors	7	T	199	
23817X	Siding Contractors	6	T	197	
238191	Other Residential Foundation, Structure, and Building Exterior Contractors	7	T	201	
238192	Other Nonresidential Foundation, Structure, and Building Exterior Contractors	7	T	202	
23819X	Other Foundation, Structure, and Building Exterior Contractors	6	T	200	
2381XX	Foundation, Structure, and Building Exterior Contractors	5	T	176	
238211	Residential Electrical Contractors	7	T	207	
238212	Nonresidential Electrical Contractors	7	T	208	
23821X	Electrical Contractors	6	T	206	
238221	Residential Plumbing, Heating, and Air-Conditioning Contractors	7	T	210	
238222	Nonresidential Plumbing, Heating, and Air-Conditioning Contractors	7	T	211	
23822X	Plumbing, Heating, and Air-Conditioning Contractors	6	T	209	
238292	Other Nonresidential Building Equipment Contractors	7	T	214	
23829X	Other Building Equipment Contractors	6	T	212	
2382XX	Building Equipment Contractors	5	T	203	
238311	Residential Drywall and Insulation Contractors	7	T	219	
238312	Nonresidential Drywall and Insulation Contractors	7	T	220	
23831X	Drywall and Insulation Contractors	6	T	218	
238321	Residential Painting and Wall Covering Contractors	7	T	222	
238322	Nonresidential Painting and Wall Covering Contractors	7	T	223	
23832X	Painting and Wall Covering Contractors	6	T	221	
238331	Residential Flooring Contractors	7	T	225	
23833X	Flooring Contractors	6	T	224	
23834X	Tile and Terrazzo Contractors	6	T	227	
238351	Residential Finish Carpentry Contractors	7	T	231	
238352	Nonresidential Finish Carpentry Contractors	7	T	232	
23835X	Finish Carpentry Contractors	6	T	230	
238391	Other Residential Building Finishing Contractors	7	T	234	
238392	Other Nonresidential Building Finishing Contractors	7	T	235	
23839X	Other Building Finishing Contractors	6	T	233	
2383XX	Building Finishing Contractors	5	T	215	
238911	Residential Site Preparation Contractors	7	T	240	
238912	Nonresidential Site Preparation Contractors	7	T	241	
23891X	Site Preparation Contractors	6	T	239	
238991	All other residential specialty trade contractors	7	T	243	
238992	All other nonresidential specialty trade contractors	7	T	244	
23899X	All Other Specialty Trade Contractors	6	T	242	
2389XX	Other Specialty Trade Contractors	5	T	236	
238XXX	Specialty Trade Contractors	4	T	173	
311119	Other Animal Food Manufacturing	7	T	251	
31111X	Animal Food Manufacturing	6	T	249	
3111XX	Animal Food Manufacturing	5	T	248	
31121X	Flour Milling and Malt Manufacturing	6	T	253	
31122X	Starch and Vegetable Fats and Oils Manufacturing	6	T	257	
31123X	Breakfast Cereal Manufacturing	6	T	262	
3112XX	Grain and Oilseed Milling	5	T	252	
31131X	Sugar Manufacturing	6	T	264	
3113XX	Sugar and Confectionery Product Manufacturing	5	T	263	
311421	Fruit and Vegetable Canning	7	T	276	
31142X	Fruit and Vegetable Canning, Pickling, and Drying	6	T	275	
3114XX	Fruit and Vegetable Preserving and Specialty Food Manufacturing	5	T	271	
311511	Fluid Milk Manufacturing	7	T	281	
31151X	Dairy Product (except Frozen) Manufacturing	6	T	280	
3115XX	Dairy Product Manufacturing	5	T	279	
311611	Animal (except Poultry) Slaughtering	7	T	288	
311612	Meat Processed from Carcasses	7	T	289	
311613	Rendering and Meat Byproduct Processing	7	T	290	
311615	Poultry Processing	7	T	291	
31161X	Animal Slaughtering and Processing	6	T	287	
3116XX	Animal Slaughtering and Processing	5	T	286	
311712	Fresh and Frozen Seafood Processing	7	T	295	
31171X	Seafood Product Preparation and Packaging	6	T	293	
3117XX	Seafood Product Preparation and Packaging	5	T	292	
311811	Retail Bakeries	7	T	298	
311812	Commercial Bakeries	7	T	299	
31181X	Bread and Bakery Product Manufacturing	6	T	297	
3118XX	Bakeries and Tortilla Manufacturing	5	T	296	
311919	Other Snack Food Manufacturing	7	T	309	
31191X	Snack Food Manufacturing	6	T	307	
311942	Spice and Extract Manufacturing	7	T	314	
31194X	Seasoning and Dressing Manufacturing	6	T	312	
311991	Perishable Prepared Food Manufacturing	7	T	316	
31199X	All Other Food Manufacturing	6	T	315	
3119XX	Other Food Manufacturing	5	T	306	
311XXX	Food Manufacturing	4	T	247	
312111	Soft Drink Manufacturing	7	T	321	
31211X	Soft Drink and Ice Manufacturing	6	T	320	
31212X	Breweries	6	T	324	
31213X	Wineries	6	T	325	
3121XX	Beverage Manufacturing	5	T	319	
312XXX	Beverage and Tobacco Product Manufacturing	4	T	318	
31321X	Broadwoven Fabric Mills	6	T	339	
3132XX	Fabric Mills	5	T	338	
3133XX	Textile and Fabric Finishing and Fabric Coating Mills	5	T	347	
313XXX	Textile Mills	4	T	332	
3141XX	Textile Furnishings Mills	5	T	353	
3149XX	Other Textile Product Mills	5	T	358	
314XXX	Textile Product Mills	4	T	352	
315XXX	Apparel Manufacturing	4	T	366	
31611X	Leather and Hide Tanning and Finishing	6	T	403	
3161XX	Leather and Hide Tanning and Finishing	5	T	402	
316XXX	Leather and Allied Product Manufacturing	4	T	401	
321113	Sawmills	7	T	420	
321114	Wood Preservation	7	T	421	
32111X	Sawmills and Wood Preservation	6	T	419	
3211XX	Sawmills and Wood Preservation	5	T	418	
321211	Hardwood Veneer and Plywood Manufacturing	7	T	424	
321214	Truss Manufacturing	7	T	427	
321219	Reconstituted Wood Product Manufacturing	7	T	428	
32121X	Veneer, Plywood, and Engineered Wood Product Manufacturing	6	T	423	
3212XX	Veneer, Plywood, and Engineered Wood Product Manufacturing	5	T	422	
321918	Other Millwork (including Flooring)	7	T	433	
32191X	Millwork	6	T	430	
32192X	Wood Container and Pallet Manufacturing	6	T	434	
32199X	All Other Wood Product Manufacturing	6	T	435	
3219XX	Other Wood Product Manufacturing	5	T	429	
321XXX	Wood Product Manufacturing	4	T	417	
322121	Paper (except Newsprint) Mills	7	T	443	
322122	Newsprint Mills	7	T	444	
32212X	Paper Mills	6	T	442	
32213X	Paperboard Mills	6	T	445	
3221XX	Pulp, Paper, and Paperboard Mills	5	T	440	
322211	Corrugated and Solid Fiber Box Manufacturing	7	T	448	
32221X	Paperboard Container Manufacturing	6	T	447	
322222	Coated and Laminated Paper Manufacturing	7	T	455	
32222X	Paper Bag and Coated and Treated Paper Manufacturing	6	T	453	
322232	Envelope Manufacturing	7	T	462	
32223X	Stationery Product Manufacturing	6	T	460	
32229X	Other Converted Paper Product Manufacturing	6	T	464	
3222XX	Converted Paper Product Manufacturing	5	T	446	
322XXX	Paper Manufacturing	4	T	439	
323110	Commercial Lithographic Printing	6	T	470	
323113	Commercial Screen Printing	7	T	473	
323114	Quick Printing	7	T	474	
32311X	Printing	6	T	469	
3231XX	Printing and Related Support Activities	5	T	468	
323XXX	Printing and Related Support Activities	4	T	467	
32411X	Petroleum Refineries	6	T	485	
324121	Asphalt Paving Mixture and Block Manufacturing	7	T	487	
32412X	Asphalt Paving, Roofing, and Saturated Materials Manufacturing	6	T	486	
