industry_code	industry_text	display_level	selectable	sort_sequence
2372XX	Land subdivision	5	T	155	
23731X	Highway, street, and bridge construction	6	T	158	
2373XX	Highway, street, and bridge construction	5	T	157	
2379XX	Other heavy and civil engineering construction	5	T	159	
237XXX	Heavy and civil engineering construction	4	T	150	
238111	Residential poured concrete foundation and structure contractors	7	T	167	
238112	Nonresidential poured concrete foundation and structure contractors	7	T	168	
23811X	Poured concrete foundation and structure contractors	6	T	166	
238122	Nonresidential structural steel and precast concrete contractors	7	T	171	
23812X	Structural steel and precast concrete contractors	6	T	169	
238131	Residential framing contractors	7	T	173	
238132	Nonresidential framing contractors	7	T	174	
23813X	Framing contractors	6	T	172	
238141	Residential masonry contractors	7	T	176	
238142	Nonresidential masonry contractors	7	T	177	
23814X	Masonry contractors	6	T	175	
238152	Non residential glass and glazing contractors	7	T	180	
23815X	Glass and glazing contractors	6	T	178	
238161	Residential roofing contractors	7	T	182	
238162	Nonresidential roofing contractors	7	T	183	
23816X	Roofing contractors	6	T	181	
238171	Residential siding contractors	7	T	185	
238172	Nonresidential siding contractors	7	T	186	
23817X	Siding contractors	6	T	184	
238192	Other nonresidential foundation, structure, and building exterior contractors	7	T	189	
23819X	Other foundation, structure, and building exterior contractors	6	T	187	
2381XX	Foundation, structure, and building exterior contractors	5	T	163	
238211	Residential electrical contractors	7	T	194	
238212	Nonresidential electrical contractors	7	T	195	
23821X	Electrical contractors	6	T	193	
238221	Residential plumbing, heating, and air-conditioning contractors	7	T	197	
238222	Nonresidential plumbing, heating, and air-conditioning contractors	7	T	198	
23822X	Plumbing, heating, and air-conditioning contractors	6	T	196	
238291	Other residential building equipment contractors	7	T	200	
238292	Other nonresidential building equipment contractors	7	T	201	
23829X	Other building equipment contractors	6	T	199	
2382XX	Building equipment contractors	5	T	190	
238311	Residential drywall and insulation contractors	7	T	206	
238312	Nonresidential drywall and insulation contractors	7	T	207	
23831X	Drywall and insulation contractors	6	T	205	
238321	Residential painting and wall covering contractors	7	T	209	
238322	Nonresidential painting and wall covering contractors	7	T	210	
23832X	Painting and wall covering contractors	6	T	208	
23833X	Flooring contractors	6	T	211	
238341	Residential tile and terrazzo contractors	7	T	215	
23834X	Tile and terrazzo contractors	6	T	214	
238351	Residential finish carpentry contractors	7	T	218	
23835X	Finish carpentry contractors	6	T	217	
238391	Other residential building finishing contractors	7	T	221	
238392	Other nonresidential building finishing contractors	7	T	222	
23839X	Other building finishing contractors	6	T	220	
2383XX	Building finishing contractors	5	T	202	
238911	Residential site preparation contractors	7	T	227	
238912	Nonresidential site preparation contractors	7	T	228	
23891X	Site preparation contractors	6	T	226	
238991	All other residential specialty trade contractors	7	T	230	
