area_code	area_name
8080	Steubenville-Weirton
8120	Stockton
8125	Suburban Maryland-Dc
8160	Syracuse
8200	Tacoma
8240	Tallahassee
8280	Tampa-St Petersburg-Clearwater
8320	Terre Haute
8360	Texarkana
8400	Toledo
8440	Topeka
8480	Trenton
8520	Tucson
8560	Tulsa
8600	Tuscaloosa
8640	Tyler
8680	Utica-Rome
8720	Vallejo-Fairfield-Napa
8735	Ventura
8750	Victoria
8760	Vineland-Millville-Bridgeton
8800	Waco
8840	Washington Msa
8880	Waterbury
8920	Waterloo-Cedar Falls
8940	Wausau
8960	West Palm Beach-Boca Raton-Delray Beach
8971	Westchester County
9000	Wheeling
9040	Wichita
9080	Wichita Falls
9121	Wilkes-Barre-Hazleton
9140	Williamsport
9160	Wilmington
9240	Worcester
9280	York
9320	Youngstown-Warren
