industry_code	industry_text	display_level	selectable	sort_sequence
311313	Beet sugar manufacturing	7	T	258	
311314	Cane sugar manufacturing	7	T	259	
31131X	Sugar manufacturing	6	T	255	
31132X	Chocolate and Confectionery Mfg from Cacao Beans(discontinued in 2014)(code changed in 2014)	1	T	260	
31133X	Confectionery Mfg from Purchased Chocolate(discontinued in 2014)(code changed in 2014)	1	T	261	
31134X	Nonchocolate confectionery manufacturing	6	T	262	
311351	Confectionery manufacturing from cacao beans(code changed in 2014)	7	T	264	
311352	Confectionery mfg. from purchased chocolate(code changed in 2014)	7	T	265	
31135X	Confectionery mfg. from cacao or chocolate	6	T	263	
3113XX	Sugar and confectionery product manufacturing	5	T	254	
311411	Frozen fruit and vegetable manufacturing	7	T	268	
311412	Frozen specialty food manufacturing	7	T	269	
31141X	Frozen food manufacturing	6	T	267	
311421	Fruit and vegetable canning	7	T	271	
311422	Specialty canning	7	T	272	
311423	Dried and dehydrated food manufacturing	7	T	273	
31142X	Fruit and vegetable canning and drying	6	T	270	
3114XX	Fruit and vegetable preserving and specialty	5	T	266	
311511	Fluid milk manufacturing	7	T	276	
311512	Creamery butter manufacturing	7	T	277	
311513	Cheese manufacturing	7	T	278	
311514	Dry condensed and evaporated dairy products	7	T	279	
31151X	Dairy product except frozen manufacturing	6	T	275	
31152X	Ice cream and frozen dessert manufacturing	6	T	280	
3115XX	Dairy product manufacturing	5	T	274	
311611	Animal except poultry slaughtering	7	T	283	
311612	Meat processed from carcasses	7	T	284	
311613	Rendering and meat byproduct processing	7	T	285	
311615	Poultry processing	7	T	286	
31161X	Animal slaughtering and processing	6	T	282	
3116XX	Animal slaughtering and processing	5	T	281	
311711	Seafood Canning(discontinued in 2014)	1	T	289	
311712	Fresh and Frozen Seafood Processing(discontinued in 2014)	1	T	290	
31171X	Seafood product preparation and packaging	6	T	288	
3117XX	Seafood product preparation and packaging	5	T	287	
311811	Retail bakeries	7	T	293	
311812	Commercial bakeries	7	T	294	
311813	Frozen cakes and other pastries manufacturing	7	T	295	
31181X	Bread and bakery product manufacturing	6	T	292	
311821	Cookie and cracker manufacturing	7	T	297	
311822	Flour Mixes and Dough Mfg From Purchased Flour(discontinued in 2014)	1	T	298	
311823	Dry Pasta Mfg(discontinued in 2014)	1	T	299	
311824	Dry pasta and mixes from purchased flour	7	T	300	
31182X	Cookie cracker and pasta manufacturing	6	T	296	
31183X	Tortilla manufacturing	6	T	301	
3118XX	Bakeries and tortilla manufacturing	5	T	291	
311911	Roasted nuts and peanut butter manufacturing	7	T	304	
311919	Other snack food manufacturing	7	T	305	
31191X	Snack food manufacturing	6	T	303	
31192X	Coffee and tea manufacturing	6	T	306	
31193X	Flavoring syrup and concentrate manufacturing	6	T	307	
311941	Mayonnaise dressing and sauce manufacturing	7	T	309	
311942	Spice and extract manufacturing	7	T	310	
31194X	Seasoning and dressing manufacturing	6	T	308	
311991	Perishable prepared food manufacturing	7	T	312	
311999	All other miscellaneous food manufacturing	7	T	313	
31199X	All other food manufacturing	6	T	311	
3119XX	Other food manufacturing	5	T	302	
311XXX	Food manufacturing	4	T	237	
312111	Soft drink manufacturing	7	T	317	
312112	Bottled water manufacturing	7	T	318	
312113	Ice manufacturing	7	T	319	
31211X	Soft drink and ice manufacturing	6	T	316	
31212X	Breweries	6	T	320	
31213X	Wineries	6	T	321	
31214X	Distilleries	6	T	322	
3121XX	Beverage manufacturing	5	T	315	
31221X	Tobacco Stemming and Redrying(discontinued in 2014)	1	T	324	
312221	Cigarette Mfg(discontinued in 2014)	1	T	325	
312229	Other Tobacco Product Mfg(discontinued in 2014)	1	T	326	
31222X	Tobacco product manufacturing	6	T	315	
3122XX	Tobacco manufacturing	5	T	323	
312XXX	Beverage and tobacco product manufacturing	4	T	314	
313111	Yarn Spinning Mills(discontinued in 2014)	1	T	331	
313112	Yarn Texturizing Throwing and Twisting Mills(discontinued in 2014)	1	T	332	
31311X	Fiber yarn and thread mills	6	T	330	
3131XX	Fiber yarn and thread mills	5	T	329	
31321X	Broadwoven fabric mills	6	T	335	
313221	Narrow Fabric Mills(discontinued in 2014)	1	T	337	
31322X	Narrow fabric mills and schiffli embroidery	6	T	336	
31323X	Nonwoven fabric mills	6	T	339	
313241	Weft Knit Fabric Mills(discontinued in 2014)	1	T	341	
313249	Other Knit Fabric and Lace Mills(discontinued in 2014)	1	T	342	
31324X	Knit fabric mills	6	T	340	
3132XX	Fabric mills	5	T	334	
313311	Broadwoven Fabric Finishing Mills(discontinued in 2014)	1	T	345	
313312	Textile and Fabric Finishing (except Broadwoven Fabric) Mills(discontinued in 2014)	1	T	346	
31331X	Textile and fabric finishing mills	6	T	344	
31332X	Fabric coating mills	6	T	347	
3133XX	Textile and fabric finishing mills	5	T	343	
313XXX	Textile mills	4	T	328	
31411X	Carpet and rug mills	6	T	350	
314121	Curtain and Drapery Mills(discontinued in 2014)	1	T	352	
314129	Other Household Textile Product Mills(discontinued in 2014)	1	T	353	
31412X	Curtain and linen mills	6	T	351	
3141XX	Textile furnishings mills	5	T	349	
314911	Textile Bag Mills(discontinued in 2014)	1	T	356	
314912	Canvas and Related Product Mills(discontinued in 2014)	1	T	357	
31491X	Textile bag and canvas mills	6	T	355	
314992	Tire Cord and Tire Fabric Mills(discontinued in 2014)	1	T	360	
314994	Rope cordage twine and tire fabric mills	7	T	361	
314999	All other miscellaneous textile product mills	7	T	362	
31499X	All other textile product mills	6	T	358	
3149XX	Other textile product mills	5	T	354	
314XXX	Textile product mills	4	T	348	
315111	Sheer Hosiery Mills(discontinued in 2014)	1	T	366	
315119	Other Hosiery and Sock Mills(discontinued in 2014)	1	T	367	
31511X	Hosiery and sock mills	6	T	365	
315191	Outerwear Knitting Mills(discontinued in 2014)	1	T	369	
31519X	Other apparel knitting mills	6	T	368	
3151XX	Apparel knitting mills	5	T	364	
315211	Mens and Boys Cut and Sew Apparel Contractors(discontinued in 2014)	1	T	373	
315212	Womens Girls and Infants Cut and Sew Contractors(discontinued in 2014)	1	T	374	
31521X	Cut and sew apparel contractors	6	T	372	
315225	Mens and Boys Cut and Sew Work Clothing Mfg(discontinued in 2014)	1	T	380	
315228	Mens and Boys Cut and Sew Other Outerwear Mfg(discontinued in 2014)	1	T	381	
31522X	Mens and boys cut and sew apparel mfg.	6	T	375	
315233	Womens and Girls Cut and Sew Dress Mfg(discontinued in 2014)	1	T	384	
315234	Womens and Girls Cut and Sew Suit Coat Tailored Jacket and Skirt Mfg(discontinued in 2014)	1	T	385	
315239	Womens and Girls Cut and Sew Other Outerwear Mfg(discontinued in 2014)	1	T	386	
31523X	Women's and girls' cut and sew apparel manufacturing	6	T	371	
31524X	Womens girls infants cut-sew apparel mfg	6	T	387	
31528X	Other cut and sew apparel manufacturing	6	T	388	
315299	All Other Cut and Sew Apparel Mfg(discontinued in 2014)	1	T	391	
31529X	Other cut and sew apparel manufacturing	6	T	377	
3152XX	Cut and sew apparel manufacturing	5	T	371	
315991	Hat Cap and Millinery Mfg(discontinued in 2014)	1	T	394	
315999	Other Apparel Accessories and Other Apparel Mfg(discontinued in 2014)	1	T	397	
31599X	Accessories and other apparel manufacturing	6	T	393	
3159XX	Accessories and other apparel manufacturing	5	T	392	
315XXX	Apparel manufacturing	4	T	363	
3161XX	Leather and hide tanning and finishing	5	T	399	
316211	Rubber and Plastics Footwear Mfg(discontinued in 2014)	1	T	403	
316213	Mens Footwear (except Athletic) Mfg(discontinued in 2014)	1	T	405	
31621X	Footwear manufacturing	6	T	402	
3162XX	Footwear manufacturing	5	T	401	
316991	Luggage Mfg(discontinued in 2014)	1	T	410	
316998	Other leather good and allied product mfg.	7	T	413	
316999	All Other Leather Good and Allied Product Mfg(discontinued in 2014)	1	T	414	
31699X	Other leather product manufacturing	6	T	409	
3169XX	Other leather product manufacturing	5	T	408	
316XXX	Leather and allied product manufacturing	4	T	398	
321113	Sawmills	7	T	418	
321114	Wood preservation	7	T	419	
32111X	Sawmills and wood preservation	6	T	417	
3211XX	Sawmills and wood preservation	5	T	416	
321211	Hardwood veneer and plywood manufacturing	7	T	422	
321212	Softwood veneer and plywood manufacturing	7	T	423	
321213	Engineered wood member manufacturing	7	T	424	
321214	Truss manufacturing	7	T	425	
321219	Reconstituted wood product manufacturing	7	T	426	
32121X	Plywood and engineered wood product mfg.	6	T	421	
3212XX	Plywood and engineered wood product mfg.	5	T	420	
321911	Wood window and door manufacturing	7	T	429	
321912	Cut stock resawing lumber and planing	7	T	430	
321918	Other millwork including flooring	7	T	431	
32191X	Millwork	6	T	428	
32192X	Wood container and pallet manufacturing	6	T	432	
321991	Manufactured home mobile home manufacturing	7	T	434	
321992	Prefabricated wood building manufacturing	7	T	435	
321999	All other miscellaneous wood product mfg.(definition changed in 2014)	7	T	436	
32199X	All other wood product manufacturing	6	T	433	
3219XX	Other wood product manufacturing	5	T	427	
321XXX	Wood product manufacturing	4	T	415	
32211X	Pulp mills	6	T	439	
322121	Paper except newsprint mills	7	T	441	
322122	Newsprint mills	7	T	442	
32212X	Paper mills	6	T	440	
32213X	Paperboard mills	6	T	443	
3221XX	Pulp paper and paperboard mills	5	T	438	
322211	Corrugated and solid fiber box manufacturing	7	T	446	
322212	Folding paperboard box manufacturing	7	T	447	
322214	Fiber Can Tube Drum and Similar Products Mfg(discontinued in 2014)	1	T	449	
322215	Nonfolding Sanitary Food Container Mfg(discontinued in 2014)	1	T	450	
322219	Other paperboard container manufacturing	7	T	451	
32221X	Paperboard container manufacturing	6	T	445	
322221	Coated and Laminated Packaging Paper Mfg(discontinued in 2014)	1	T	453	
322222	Coated and Laminated Paper Mfg(discontinued in 2014)	1	T	454	
322223	Coated Paper Bag and Pouch Mfg(discontinued in 2014)	1	T	455	
322224	Uncoated Paper and Multiwall Bag Mfg(discontinued in 2014)	1	T	456	
322225	Laminated Aluminum Foil Mfg for Flexible Packaging Uses(discontinued in 2014)	1	T	457	
32222X	Paper bag and coated and treated paper mfg.	6	T	452	
322231	Die-Cut Paper and Paperboard Office Supplies Mfg(discontinued in 2014)	1	T	460	
322232	Envelope Mfg(discontinued in 2014)	1	T	461	
32223X	Stationery product manufacturing	6	T	459	
322291	Sanitary paper product manufacturing	7	T	464	
322299	All other converted paper product mfg.	7	T	465	
32229X	Other converted paper product manufacturing	6	T	463	
3222XX	Converted paper product manufacturing	5	T	444	
322XXX	Paper manufacturing	4	T	437	
323110	Commercial Lithographic Printing(discontinued in 2014)	1	T	468	
323111	Commercial printing exc. screen and books(definition changed in 2014)	7	T	470	
323112	Commercial Flexographic Printing(discontinued in 2014)	1	T	471	
323113	Commercial screen printing	7	T	472	
323114	Quick Printing(discontinued in 2014)	1	T	473	
323115	Digital Printing(discontinued in 2014)	1	T	474	
323116	Manifold Business Forms Printing(discontinued in 2014)	1	T	475	
323117	Books printing	7	T	476	
323118	Blankbook Looseleaf Binders and Devices Mfg(discontinued in 2014)	1	T	477	
323119	Other Commercial Printing(discontinued in 2014)	1	T	478	
32311X	Printing	6	T	469	
323121	Tradebinding and Related Work(discontinued in 2014)	1	T	480	
323122	Prepress Services(discontinued in 2014)	1	T	481	
32312X	Support activities for printing	6	T	479	
3231XX	Printing and related support activities	5	T	467	
323XXX	Printing and related support activities	4	T	466	
32411X	Petroleum refineries	6	T	484	
324121	Asphalt paving mixture and block mfg.	7	T	486	
324122	Asphalt shingle and coating materials mfg.	7	T	487	
32412X	Asphalt paving and roofing materials mfg.	6	T	485	
324191	Petroleum lubricating oil and grease mfg.	7	T	489	
324199	All other petroleum and coal products mfg.	7	T	490	
32419X	Other petroleum and coal products mfg.	6	T	488	
3241XX	Petroleum and coal products manufacturing	5	T	483	
324XXX	Petroleum and coal products manufacturing	4	T	482	
32511X	Petrochemical manufacturing	6	T	493	
32512X	Industrial gas manufacturing	6	T	494	
325131	Inorganic Dye and Pigment Mfg(discontinued in 2014)	1	T	496	
325132	Synthetic Organic Dye and Pigment Mfg(discontinued in 2014)	1	T	497	
32513X	Synthetic dye and pigment manufacturing	6	T	495	
325181	Alkalies and Chlorine Mfg(discontinued in 2014)	1	T	499	
325182	Carbon Black Mfg(discontinued in 2014)	1	T	500	
325188	All Other Basic Inorganic Chemical Mfg(discontinued in 2014)	1	T	501	
32518X	Other basic inorganic chemical manufacturing	6	T	498	
325193	Ethyl alcohol manufacturing	7	T	505	
325194	Cyclic crude and gum and wood chemical mfg.	7	T	506	
325199	All other basic organic chemical mfg.	7	T	507	
32519X	Other basic organic chemical manufacturing	6	T	502	
3251XX	Basic chemical manufacturing	5	T	492	
325211	Plastics material and resin manufacturing	7	T	510	
325212	Synthetic rubber manufacturing	7	T	511	
32521X	Resin and synthetic rubber manufacturing	6	T	509	
325221	Cellulosic Organic Fiber Mfg(discontinued in 2014)	1	T	513	
325222	Noncellulosic Organic Fiber Mfg(discontinued in 2014)	1	T	514	
32522X	Artificial fibers and filaments manufacturing	6	T	512	
